gene,log2FC,p
Atg9a,-0.00945878,0.8902618
Ankzf1,0.034513142,0.30660135
Glb1l,-0.02400861,0.6001388
Stk16,0.028439656,0.26446518
Tuba4a,-0.15996304,0.27658027
Dnajb2,0.10117124,0.3014453
Ptprn,-0.1773322,0.31814858
Resp18,-0.15959533,0.09143885
Dnpep,-0.047822684,0.5373988
Des,0.0,1.0
Speg,-0.072415896,0.38535744
Gmppa,0.0076998994,0.6008876
Asic4,-0.021094307,0.4226497
Chpf,-0.124375954,0.11390857
Obsl1,-0.08050855,0.07272303
Tmem198,0.009746611,0.8241568
Inha,-0.04394979,0.3457469
Stk11ip,0.035914544,0.020725843
Slc4a3,0.010739446,0.9201795
Gm17751,0.0,1.0
Gm816,0.0,1.0
Epha4,-0.09745246,0.73666465
Pax3,0.0,1.0
Sgpp2,-0.04421485,0.00657189
Farsb,0.036774427,0.5108956
BC035947,0.0,1.0
Mogat1,0.0,1.0
Acsl3,-0.09376943,0.37801316
Utp14b,0.010168023,0.925869
Kcne4,0.016152786,0.4226497
Scg2,-0.15864384,0.30464357
Ap1s3,-0.0027727373,0.8751349
Wdfy1,-0.028441057,0.7988377
Mrpl44,0.05417765,0.004918187
Serpine2,-0.09435205,0.46553087
9830004L10Rik,0.0,1.0
Fam124b,0.0,1.0
2310015K22Rik,0.0,1.0
Cul3,-0.3189158,0.24328616
Dock10,0.11539145,0.041573927
Nyap2,-0.06365612,0.5150829
Irs1,-0.027281232,0.6157423
Rhbdd1,0.013926062,0.03765454
Gm28940,0.0,1.0
Col4a4,0.0030323677,0.4226497
Col4a3,0.0,1.0
Mff,-0.24789876,0.14399862
Agfg1,-0.09962709,0.055392593
Slc19a3,0.0,1.0
Krtap28-13,0.0,1.0
Ccl20,0.0,1.0
Daw1,-0.0068198754,0.42264965
Sphkap,-0.2155697,0.16366836
Pid1,0.0568994,0.61220634
Dner,-0.1489128,0.3455534
Trip12,-0.105965644,0.5203976
Fbxo36,-0.014419381,0.6280001
Slc16a14,0.024447607,0.5114069
C130026I21Rik,0.0030837327,0.42264965
A530032D15Rik,0.0027743576,0.42264965
A530040E14Rik,0.0,1.0
G530012D18Rik,0.0,1.0
Sp110,0.011286158,0.66871524
Gm16094,0.0,1.0
Sp140,0.007373825,0.5423506
Sp100,-0.013275594,0.4710012
A630001G21Rik,0.05507195,0.15575966
Cab39,-0.061057597,0.31742877
Itm2c,-0.12885916,0.6775796
4933407L21Rik,-7.272884e-05,0.9973144
Gm28884,0.0,1.0
Gpr55,0.0,1.0
Spata3,0.0,1.0
2810459M11Rik,0.0016997159,0.9695859
Psmd1,0.03011927,0.8627999
Htr2b,0.0,1.0
Gm21972,0.0,1.0
Armc9,-0.014350757,0.8002075
B3gnt7,0.0031612003,0.42264965
Gm28626,0.0,1.0
Ncl,0.033949256,0.7720025
Ptma,0.38476467,0.341684
Pde6d,-0.03557989,0.68564284
Cops7b,0.023535438,0.6017751
Nppc,-0.13820456,0.22411531
Dis3l2,-0.08645329,0.26509225
Ecel1,-0.08930531,0.44291842
Chrng,-0.011521619,0.31167424
Eif4e2,0.0022917688,0.9852386
Efhd1,-0.041687332,0.41775373
Efhd1os,0.0,1.0
Gigyf2,-0.22152987,0.37195125
Kcnj13,0.0097778365,0.37302065
3110079O15Rik,0.0,1.0
