gene,log2FC,p
Hspd1,-0.030943751,0.6546632
Hspe1,0.025813758,0.8238884
Mob4,-0.010951757,0.8780925
Rftn2,-0.012420416,0.77854395
Gm10561,0.026635308,0.42588833
Mars2,-0.0047036335,0.79521847
Boll,0.00020393822,0.9480162
Plcl1,0.05110977,0.32699397
Satb2,-0.0017737994,0.42264977
BC055402,0.0,1.0
4930558J18Rik,0.0,1.0
1700066M21Rik,0.057881147,0.25920463
Tyw5,-0.022415966,0.46152338
9430016H08Rik,0.010706171,0.7015279
Spats2l,-0.061687827,0.2618393
Kctd18,0.025095455,0.44221678
Sgol2a,-0.010350128,0.35616967
Aox1,-0.012268641,0.21982585
Aox3,0.0,1.0
Aox4,0.0,1.0
Bzw1,0.048935413,0.09653838
Clk1,0.12886882,0.2519195
Ppil3,0.08761804,0.037199333
Nif3l1,0.005777359,0.80456656
Orc2,-0.021990016,0.3460947
Gm15834,0.0062696845,0.21255085
Fam126b,-0.03320846,0.16586936
Ndufb3,-0.09742355,0.32357192
Als2cr12,0.0,1.0
Cflar,0.029647857,0.5456004
Casp8,0.01260546,0.44904426
Trak2,0.0002747327,0.9826062
Stradb,0.006266348,0.7952387
Tmem237,0.028316528,0.33836976
G730003C15Rik,0.009978272,0.3049027
Mpp4,0.0021975283,0.4226497
Als2,0.006456258,0.65899587
Cdk15,0.0,1.0
Fzd7,-0.016175272,0.55892134
Gm973,0.009274284,0.26319197
Gm28411,0.0,1.0
Sumo1,0.026198924,0.7769966
Nop58,0.02789542,0.2709135
Bmpr2,-0.108442605,0.07827821
Fam117b,0.00031876564,0.9935882
Ica1l,-0.0015455075,0.91926324
Wdr12,-0.030649424,0.051456533
Carf,-0.034220472,0.36860177
Nbeal1,0.01964891,0.73888284
Cyp20a1,0.08803576,0.078124315
Abi2,-0.112436116,0.017442835
Raph1,0.12741578,0.09284831
Cd28,0.002271519,0.4226497
Ctla4,0.0,1.0
Icos,-0.0018038639,0.42264977
Pard3b,-0.027154306,0.005020219
Pard3bos1,0.0,1.0
Nrp2,0.014012754,0.6471221
Gm29083,-0.015914341,0.4521494
Ino80d,-0.020336926,0.7847164
Ino80dos,-0.029075928,0.49024808
Gm20342,0.021776319,0.6031049
Ndufs1,0.042903304,0.3452196
Eef1b2,0.03971809,0.64706576
Gpr1,0.0,1.0
Zdbf2,0.0,1.0
Adam23,-0.058881104,0.4103077
Dytn,0.0,1.0
Mdh1b,0.0,1.0
Fastkd2,0.004570458,0.8530173
4933402D24Rik,0.0,1.0
Klf7,0.2079897,0.052167416
Gm26649,-0.011103686,0.3812929
Gm28981,0.0,1.0
Creb1,-0.08608559,0.16786906
Mettl21a,0.011193633,0.785284
Ccnyl1,0.02849977,0.2975252
Fzd5,0.0025622929,0.6721721
Plekhm3,0.031078503,0.3334891
D630023F18Rik,0.0019527581,0.7265516
Idh1,0.030851007,0.5261739
Pikfyve,-0.019622162,0.7521058
Map2,0.0245924,0.7158768
Gm10558,-0.004140553,0.5592454
Unc80,0.040617675,0.542424
Rpe,-0.04097052,0.33558053
Kansl1l,0.014867008,0.5885474
Acadl,0.04893875,0.35049736
Myl1,0.0,1.0
Lancl1,0.031906396,0.3702142
Erbb4,-0.080675334,0.08597131
Gm28497,0.0,1.0
Gm29113,0.0,1.0
Gm29114,0.0,1.0
Ikzf2,-0.008472145,0.87908745
Spag16,0.0,1.0
Vwc2l,0.0,1.0
Bard1,-0.0050366856,0.2527739
Atic,0.048559517,0.26828685
Fn1,-0.0013526306,0.9104049
Apol7d,0.0,1.0
4933417E11Rik,0.0,1.0
Mreg,0.0003650689,0.93523145
D230017M19Rik,-0.010489956,0.5810416
Pecr,0.023483612,0.32408088
Tmem169,0.0007155165,0.9704541
Xrcc5,-0.007403344,0.5383441
March4,-0.003473264,0.42264965
Smarcal1,-0.017301857,0.6774087
Rpl37a,-0.040160656,0.8219173
Igfbp2,-0.07362025,0.08731734
Igfbp5,-0.069256306,0.0115825515
6030407O03Rik,0.009747781,0.66487765
Tns1,0.022436641,0.29569483
Rufy4,0.0017265164,0.42264965
Cxcr2,0.0,1.0
Cxcr1,0.0,1.0
Arpc2,0.10816383,0.258407
Aamp,0.039701402,0.6421529
Pnkd,-0.036785662,0.5532782
Tmbim1,0.12603438,0.18182366
Catip,0.009668521,0.33161315
Slc11a1,-0.0040981416,0.6831816
Ctdsp1,-0.028429434,0.3510306
Vil1,0.0,1.0
Usp37,-0.033591032,0.48178202
Rqcd1,-0.014819406,0.6277161
Plcd4,-0.037055604,0.22724956
Zfp142,-0.016984984,0.61736494
Bcs1l,-0.026160464,0.6020668
Rnf25,-0.009831935,0.6744823
Stk36,-0.009445807,0.4074984
Ttll4,0.0055296496,0.7905756
Cyp27a1,0.03390405,0.18058236
Prkag3,0.0,1.0
Wnt6,0.0,1.0
Wnt10a,-0.0023583765,0.652961
Cdk5r2,-0.0195558,0.44882452
Ccdc108,0.0,1.0
Ihh,0.002532778,0.42264977
Nhej1,0.014785361,0.3213003
Slc23a3,0.0,1.0
Cnppd1,0.09422304,0.04855976
Fam134a,0.018918604,0.84501415
Zfand2b,0.007970378,0.8591876
Abcb6,0.02435186,0.29228914
Atg9a,-0.083937615,0.104341365
Ankzf1,0.029249195,0.091164544
Glb1l,0.008042073,0.45793208
Stk16,0.06250641,0.07027371
Tuba4a,-0.004537232,0.71040744
Dnajb2,0.09041174,0.07343441
Ptprn,-0.13038248,0.5239224
Resp18,-0.013630627,0.49602962
Dnpep,0.0061211735,0.90961903
Des,-0.0026602866,0.77182394
Speg,-0.016465597,0.5419826
Gmppa,0.058699958,0.21603978
Asic4,-0.010502383,0.85919887
Chpf,0.0054341257,0.8869268
Obsl1,0.059271745,0.19657713
Tmem198,-0.04921326,0.014150369
Inha,-0.028726567,0.35990626
Stk11ip,0.01633617,0.11560538
Slc4a3,-0.03338909,0.23916738
Gm17751,0.0,1.0
Gm816,0.0,1.0
Epha4,0.025173381,0.20209412
Pax3,0.0,1.0
Sgpp2,-0.0017381611,0.736718
Farsb,-0.025640592,0.44630632
BC035947,-0.00091193756,0.85506326
Mogat1,0.004054296,0.6239249
Acsl3,-0.1227223,0.08195336
Utp14b,0.011536598,0.8411354
Kcne4,0.0067420625,0.5726315
Scg2,0.0004956841,0.9343413
Ap1s3,0.0,1.0
Wdfy1,-0.01501593,0.9116481
Mrpl44,0.027189478,0.46715236
Serpine2,-0.21648407,0.27617913
9830004L10Rik,0.0,1.0
Fam124b,0.0,1.0
2310015K22Rik,0.0,1.0
Cul3,0.06001097,0.11511239
Dock10,-0.014961362,0.82154626
Nyap2,-0.033564232,0.24098569
Irs1,-0.021743864,0.67921495
Rhbdd1,0.0022294968,0.90454435
Gm28940,0.00178297,0.4226497
Col4a4,0.0062754247,0.42454025
Col4a3,-0.0025382582,0.6330287
Mff,0.061782956,0.41165668
Agfg1,-0.008497059,0.91697806
Slc19a3,0.0,1.0
Krtap28-13,0.001494659,0.42264965
Ccl20,0.0,1.0
Daw1,0.0,1.0
Sphkap,-0.0068658204,0.39839786
Pid1,0.057712913,0.64687794
Dner,-0.08619285,0.2581254
Trip12,0.0088477135,0.81557244
Fbxo36,0.009244667,0.2953365
Slc16a14,-0.003557412,0.51918924
C130026I21Rik,-0.0008115547,0.78013146
A530032D15Rik,0.0021420273,0.4226497
A530040E14Rik,0.0,1.0
G530012D18Rik,0.0,1.0
Sp110,0.0046039093,0.61187667
Gm16094,0.0,1.0
Sp140,0.0011571143,0.6191669
Sp100,0.006191995,0.4226497
A630001G21Rik,0.01247262,0.102266595
Cab39,-0.0025689006,0.9659575
Itm2c,0.012340665,0.9552764
4933407L21Rik,0.0062042503,0.5880986
Gm28884,0.0,1.0
Gpr55,0.0016342257,0.4226497
Spata3,0.0035154764,0.29752523
2810459M11Rik,-0.0036390573,0.94155896
Psmd1,-0.011027932,0.8643958
Htr2b,0.0,1.0
Gm21972,0.0,1.0
Armc9,-0.0012385249,0.96842235
B3gnt7,0.016025044,0.70820236
Gm28626,-0.014354409,0.2304533
Ncl,0.14180237,0.16445181
Ptma,0.20028806,0.17717788
Pde6d,0.08410549,0.15351968
Cops7b,-0.0240461,0.20931844
Nppc,-0.00016839616,0.96087843
Dis3l2,0.060743287,0.27680492
Ecel1,0.0,1.0
Chrng,0.0,1.0
Eif4e2,0.07707165,0.061916348
Efhd1,0.040491194,0.15173069
Efhd1os,0.0,1.0
Gigyf2,0.032488734,0.41699693
Kcnj13,-0.02545666,0.036179993
3110079O15Rik,-0.009512409,0.2948725
Ngef,-0.025612019,0.104772225
Neu2,0.0,1.0
Inpp5d,0.033477567,0.2881014
Atg16l1,-0.024627507,0.50558233
Sag,0.023120672,0.2200519
Dgkd,-0.05382566,0.11479628
Gm19582,0.0,1.0
Usp40,0.06489316,0.28961885
Ugt1a7c,0.002629106,0.4226497
Ugt1a6a,0.0,1.0
Ugt1a5,0.0,1.0
Ugt1a2,0.0,1.0
Dnajb3,0.0021801982,0.9161268
Mroh2a,-0.0016841603,0.42264965
Hjurp,-0.067305446,0.12874278
Gm29538,-0.003887797,0.4226497
Glrp1,0.004327824,0.2506042
Gm29336,0.0,1.0
Arl4c,0.06702383,0.12387543
Platr5,0.004188922,0.4226497
Sh3bp4,0.032603562,0.8762743
Agap1,0.10935956,0.36836156
Asb18,0.001898109,0.69953865
Iqca,0.0,1.0
4930434B07Rik,0.0,1.0
Ackr3,-0.042325556,0.548052
Gm28723,0.0016811715,0.7058842
Cops8,0.056141526,0.37028715
Col6a3,0.0081287,0.22677141
Mlph,-0.0042519644,0.55791587
Prlh,0.0,1.0
Gm28199,0.0,1.0
Lrrfip1,-0.0833295,0.026705869
Rbm44,0.0,1.0
Ramp1,-0.20330119,0.44986132
Ube2f,0.050348774,0.41880414
Gm26683,0.0,1.0
Scly,-0.01825396,0.4881798
Klhl30,0.0,1.0
Fam132b,0.0,1.0
Ilkap,-0.013874024,0.8090131
Hes6,-0.005785078,0.86457825
Per2,0.028042689,0.46273413
Traf3ip1,-0.054167602,0.110250704
Asb1,0.030842952,0.16705562
Gm29100,0.001880051,0.42264965
Twist2,0.0,1.0
Hdac4,-0.034033984,0.38214195
Gm26720,0.013164044,0.4010945
Ndufa10,0.10459432,0.04189977
Myeov2,0.10975951,0.44563925
Otos,-0.02743084,0.114998184
Gm29483,0.0,1.0
Gpc1,0.028862804,0.71720445
Gm29480,0.0,1.0
Ankmy1,0.0017265164,0.42264965
Dusp28,0.0235966,0.21207692
5033417F24Rik,-0.006260146,0.4246014
Rnpepl1,0.1138289,0.13400461
9430060I03Rik,-0.0074384855,0.26323867
Capn10,-0.025237307,0.48444387
Gpr35,-0.0020879752,0.42264977
Kif1a,-0.054271936,0.63021654
Gm28086,0.0,1.0
2310007B03Rik,0.0,1.0
Crocc2,0.0,1.0
Sned1,-0.01943862,0.35851195
Mterf4,0.022452936,0.5241425
Gm28535,0.0009780576,0.42264977
Pask,-0.0067656348,0.5065681
Ppp1r7,0.03665003,0.38646075
Ano7,0.0,1.0
Hdlbp,0.022496358,0.63691473
Sept2,0.042008996,0.34791484
Farp2,-0.0026418306,0.8692452
Stk25,0.04097891,0.35505134
Gm28536,0.0,1.0
Bok,0.013047546,0.71238697
Thap4,0.020106122,0.16341421
Gm10550,0.0,1.0
Atg4b,-0.045034245,0.12349011
Dtymk,-0.057685226,0.2826064
Ing5,0.015241273,0.555764
D2hgdh,-0.019380402,0.45560318
Neu4,-0.1976093,0.2987295
Pdcd1,-0.0031508917,0.42264977
Fam174a,0.0075117648,0.84868884
St8sia4,0.034364723,0.073798515
Slco4c1,0.0,1.0
Panct2,-0.0015461763,0.4226497
Gm28901,0.0,1.0
D1Ertd622e,0.05400811,0.27764094
Ppip5k2,0.029183924,0.5295639
Gin1,0.026943982,0.5158285
Pam,-0.02515164,0.6171258
1810006J02Rik,0.0,1.0
Gm7967,0.009417712,0.437038
Cntnap5b,-0.014155927,0.08209124
Gm28187,0.0,1.0
Cdh20,-0.06998901,0.096398965
Rnf152,-0.02567096,0.1622433
Gm17634,0.0,1.0
Pign,0.0015839189,0.9663916
2310035C23Rik,-0.045612603,0.49861166
Tnfrsf11a,0.0044322484,0.49341306
Gm7160,0.008510053,0.18548955
Zcchc2,0.02391716,0.39639932
Gm20753,0.0,1.0
Phlpp1,-0.035761,0.56006914
A530053M12Rik,0.0,1.0
Bcl2,0.013870209,0.836231
D630008O14Rik,0.0,1.0
Kdsr,0.033733502,0.64100796
Vps4b,0.09270467,0.085587986
Serpinb5,0.0,1.0
Serpinb12,0.0,1.0
Serpinb2,0.0,1.0
Serpinb10,0.0,1.0
Serpinb8,-0.0019664143,0.42264965
Cdh7,0.008985605,0.36025587
Cdh19,-0.04503748,0.46224928
Dsel,-0.05523341,0.38259298
9330185C12Rik,0.0029765721,0.4226497
Cntnap5a,-0.006773401,0.042702187
Tsn,0.0461933,0.7371741
Nifk,0.029692307,0.33373952
Clasp1,0.008001745,0.7662829
2900060B14Rik,0.011342596,0.71973884
Tfcp2l1,-0.0016418408,0.4226497
Gli2,0.001880051,0.42264965
Gm26831,0.0,1.0
