gene,log2FC,p
Adam23,-0.013207648,0.3941124
Dytn,0.0,1.0
Mdh1b,0.0001399882,0.80951744
Fastkd2,-0.0005943626,0.9346739
4933402D24Rik,3.4257682e-05,0.96324956
Klf7,0.058963776,0.18139958
Gm26649,0.0010523554,0.9045936
Gm28981,0.0002951177,0.18802914
Creb1,-0.030679688,0.17830195
Mettl21a,0.0025082715,0.7206605
Ccnyl1,0.0015927777,0.8949332
Fzd5,0.014632728,0.30186152
Plekhm3,0.0015804172,0.92093873
D630023F18Rik,0.0001997107,0.42264965
Idh1,-0.028729692,0.3056026
Pikfyve,0.013988137,0.22438464
Map2,-0.0035769194,0.87916553
Gm10558,-0.00062562444,0.1910886
Unc80,0.001291553,0.60118514
Rpe,-0.01524885,0.43488666
Kansl1l,-0.0050705075,0.7424077
Acadl,0.010250509,0.81304127
Myl1,0.0006586346,0.58973575
Lancl1,0.0058631003,0.8040316
Erbb4,0.0069842637,0.83485323
Gm28497,-0.00056208525,0.22175556
Gm29113,-0.00014130882,0.85234755
Gm29114,-0.0003047743,0.42264977
Ikzf2,-0.07698861,0.2128703
Spag16,-0.0010217449,0.037011404
Vwc2l,0.0,1.0
Bard1,0.0010133361,0.44158867
Atic,0.014314696,0.21743225
Fn1,0.003985895,0.36663458
Apol7d,0.0,1.0
4933417E11Rik,0.0002644748,0.7331022
Mreg,0.0010834383,0.61211485
D230017M19Rik,-0.0044957134,0.21484247
Pecr,0.025032148,0.27397972
Tmem169,-0.0009318013,0.56142277
Xrcc5,0.00086371973,0.95016015
March4,0.00030168894,0.42264965
Smarcal1,0.001378566,0.88756967
Rpl37a,-0.17096329,0.3724131
Igfbp2,-0.007802884,0.18930657
Igfbp5,-0.0013927137,0.6078281
6030407O03Rik,-0.0002182275,0.83644205
Tns1,-0.0034158155,0.83104223
Rufy4,0.0,1.0
Cxcr2,0.00038430322,0.59811956
Cxcr1,0.0,1.0
Arpc2,-0.043696523,0.40615693
Aamp,0.04855919,0.053346418
Pnkd,-0.020263731,0.049282555
Tmbim1,0.098389864,0.38942164
Catip,0.003817267,0.06082936
Slc11a1,0.0088855075,0.15665303
