gene,log2FC,p
Fam126b,0.014692929,0.7044184
Ndufb3,0.17814434,0.25521734
Als2cr12,0.0,1.0
Cflar,-0.02644217,0.79382294
Casp8,-0.012760222,0.9003156
Trak2,0.058353674,0.2561973
Stradb,0.0039658546,0.9161596
Tmem237,0.014726058,0.55576324
G730003C15Rik,0.010936528,0.18723428
Mpp4,0.0,1.0
Als2,0.0011317879,0.9330417
Cdk15,0.0,1.0
Fzd7,0.03466368,0.07499186
Gm973,0.0,1.0
Gm28411,0.0,1.0
Sumo1,-0.031067729,0.780261
Nop58,-0.054131597,0.602975
Bmpr2,0.013717592,0.8244768
Fam117b,0.031853564,0.5483501
Ica1l,0.0052339206,0.42264965
Wdr12,0.013677187,0.7378632
Carf,0.030293327,0.42352352
Nbeal1,0.0036280602,0.9462084
Cyp20a1,0.10482889,0.22234406
Abi2,0.094472155,0.3274797
Raph1,0.048174515,0.26118776
Cd28,0.05265633,0.59567875
Ctla4,0.0,1.0
Icos,0.035742827,0.4226497
Pard3b,-0.008483384,0.6569765
Pard3bos1,0.0,1.0
Nrp2,0.052092403,0.5841868
Gm29083,0.0,1.0
Ino80d,0.015590832,0.8124867
Ino80dos,0.005261928,0.4226497
Gm20342,-0.014718534,0.5412778
Ndufs1,0.026793875,0.5212889
Eef1b2,-0.18900573,0.19313425
Gpr1,0.0,1.0
Zdbf2,0.0,1.0
Adam23,0.0070371837,0.60395926
Dytn,0.0,1.0
Mdh1b,0.0,1.0
Fastkd2,0.0069195665,0.8851454
4933402D24Rik,0.0,1.0
Klf7,0.04336515,0.529116
Gm26649,0.002476105,0.70841193
Gm28981,0.0,1.0
Creb1,0.095301375,0.3477236
Mettl21a,0.032684892,0.29444578
Ccnyl1,0.006666066,0.77245116
Fzd5,-0.012962164,0.54120815
Plekhm3,-0.0061388165,0.8835637
D630023F18Rik,0.0041883686,0.42264977
Idh1,0.06329182,0.33144552
Pikfyve,0.0207031,0.5774548
Map2,-0.0010980675,0.8228458
Gm10558,0.0,1.0
Unc80,0.018637545,0.4226497
Rpe,0.032427184,0.32665005
Kansl1l,0.04558958,0.32110152
Acadl,0.07247323,0.37026095
Myl1,0.0,1.0
Lancl1,-0.02131489,0.680506
Erbb4,0.0,1.0
Gm28497,0.0,1.0
Gm29113,0.0,1.0
Gm29114,0.0,1.0
Ikzf2,0.008384541,0.80366737
Spag16,0.0,1.0
Vwc2l,0.0,1.0
Bard1,0.0,1.0
Atic,0.07157089,0.021591034
Fn1,0.011995663,0.4226497
Apol7d,0.0,1.0
4933417E11Rik,0.0,1.0
Mreg,0.0041675735,0.4226497
D230017M19Rik,0.0037913024,0.8900703
Pecr,-0.024218772,0.36784738
Tmem169,-0.006193543,0.4226497
Xrcc5,-0.02022978,0.058660265
March4,-0.004473629,0.42264977
Smarcal1,-0.018266972,0.57115114
Rpl37a,-0.057273865,0.8048839
Igfbp2,0.029029924,0.0564556
Igfbp5,0.01085637,0.20247762
6030407O03Rik,0.0,1.0
Tns1,-0.019226395,0.48359263
