gene,log2FC,p
Smarcal1,0.011629369,0.37514558
Rpl37a,0.13012004,0.36313385
Igfbp2,-0.95038337,0.094448395
Igfbp5,0.12147878,0.054300625
6030407O03Rik,-0.0013899852,0.3339819
Tns1,-0.051729962,0.23720655
Rufy4,0.008522179,0.4551597
Cxcr2,0.027791828,0.83765024
Cxcr1,0.0037736185,0.89854
Arpc2,0.1976642,0.33629742
Aamp,0.05763048,0.20499663
Pnkd,-0.007978946,0.91410345
Tmbim1,0.053643152,0.1980603
Catip,0.17294128,0.10742235
Slc11a1,0.12684286,0.08100457
Ctdsp1,0.0075023174,0.568345
Vil1,0.0,1.0
Usp37,0.036774594,0.13824555
Rqcd1,0.02608011,0.12972052
Plcd4,0.094563045,0.01963164
Zfp142,0.006018799,0.45161563
Bcs1l,-0.005251646,0.7931105
Rnf25,0.026536867,0.16765794
Stk36,0.045388956,0.077043846
Ttll4,0.015421722,0.5416619
Cyp27a1,0.040360615,0.1414518
Prkag3,0.0,1.0
Wnt6,0.019060675,0.34112355
Wnt10a,0.0,1.0
Cdk5r2,0.0014840242,0.27429956
Ccdc108,0.10007092,0.121216185
Ihh,0.0,1.0
Nhej1,-0.013404638,0.06041076
Slc23a3,-0.00012475015,0.42264965
Cnppd1,0.055606008,0.10267352
Fam134a,0.015873402,0.73640794
Zfand2b,0.0036742315,0.91965914
Abcb6,0.028209183,0.14760515
Atg9a,0.012795743,0.6478583
Ankzf1,0.017751284,0.3786925
Glb1l,-0.010196492,0.7318534
Stk16,0.015327066,0.738205
Tuba4a,0.051535696,0.6826284
Dnajb2,0.14820617,0.023085766
Ptprn,0.011498726,0.15448554
Resp18,0.0,1.0
Dnpep,0.027355239,0.15539224
Des,-0.0007919108,0.4226497
Speg,-0.07143572,0.07931644
Gmppa,0.015620034,0.40536144
Asic4,-0.0018588392,0.4226497
Chpf,-0.02342406,0.3502182
Obsl1,-0.01964416,0.15368465
Tmem198,-0.00033404212,0.8315918
Inha,0.0008988574,0.5942885
Stk11ip,0.0062678605,0.73258376
Slc4a3,0.004967507,0.70490956
Gm17751,0.0,1.0
Gm816,-0.00025113483,0.42264977
Epha4,-0.024065925,0.22614653
Pax3,-0.0008360502,0.42264977
Sgpp2,0.012157554,0.29988483
Farsb,0.0018911809,0.9627917
BC035947,0.0,1.0
Mogat1,-0.0058429735,0.40254483
Acsl3,0.10347973,0.03617279
Utp14b,5.877018e-05,0.99708766
Kcne4,0.0035058334,0.34564397
Scg2,-0.0006551782,0.4226497
Ap1s3,0.0064587775,0.12254197
Wdfy1,0.05406052,0.45558348
Mrpl44,0.03787166,0.009641321
Serpine2,0.38225758,0.10246788
9830004L10Rik,0.0,1.0
Fam124b,0.0,1.0
2310015K22Rik,-0.0008353321,0.20552197
Cul3,0.042452812,0.19539258
Dock10,0.09689366,0.20874503
Nyap2,-0.0072243535,0.1798395
Irs1,-0.03127996,0.2205099
Rhbdd1,0.03120178,0.12899986
Gm28940,0.0,1.0
Col4a4,-0.016816523,0.2612565
Col4a3,-0.018625893,0.15201125
Mff,-0.013112545,0.6643421
Agfg1,0.029172756,0.38217753
Slc19a3,-0.00082977704,0.28359988
Krtap28-13,0.0,1.0
Ccl20,-0.0010957202,0.4226497
Daw1,0.06570378,0.14576095
Sphkap,0.0071260217,0.29632118
Pid1,0.094800994,0.024334632
Dner,-0.009687826,0.29545778
Trip12,-0.024485394,0.61019725
Fbxo36,0.041407228,0.58722496
Slc16a14,-0.0013809827,0.42264965
C130026I21Rik,-0.0010035299,0.94542974
A530032D15Rik,0.0035115462,0.81036276
A530040E14Rik,0.0126564875,0.05278402
G530012D18Rik,0.0,1.0
Sp110,0.058601942,0.17584395
Gm16094,0.0,1.0
Sp140,0.03495674,0.6116501
Sp100,0.12673753,0.1212265
A630001G21Rik,0.025487933,0.28430256
Cab39,0.053266585,0.44847775
Itm2c,0.33214933,0.079784244
4933407L21Rik,0.06505555,0.21731089
Gm28884,0.0015525667,0.6557088
Gpr55,0.007552536,0.2666955
Spata3,0.006300647,0.2703971
2810459M11Rik,0.046073154,0.029514624
Psmd1,0.044139355,0.3436668
Htr2b,0.0,1.0
Gm21972,0.0,1.0
Armc9,0.03280417,0.26209128
B3gnt7,0.0034374455,0.4226497
Gm28626,0.0,1.0
Ncl,0.11096215,0.15599422
Ptma,0.59416604,0.05404081
Pde6d,0.03369522,0.678502
Cops7b,0.025239915,0.10781616
Nppc,0.044687428,0.013917829
Dis3l2,0.055920586,0.2562916
Ecel1,0.0,1.0
Chrng,0.0,1.0
Eif4e2,0.04478036,0.36483872
Efhd1,0.037880864,0.01650003
Efhd1os,0.0,1.0
Gigyf2,0.03670132,0.30179307
Kcnj13,-0.7628491,0.071079604
3110079O15Rik,-0.00047833295,0.42264965
Ngef,0.08266333,0.13547692
Neu2,0.017434767,0.22944257
Inpp5d,0.12728861,0.02952329
Atg16l1,-0.0042016953,0.65104055
Sag,0.0027221376,0.73220325
Dgkd,0.038233224,0.16800413
Gm19582,-0.0007618948,0.42264977
Usp40,0.025246412,0.1574198
Ugt1a7c,-0.00040110992,0.92508197
Ugt1a6a,-0.00085662026,0.8276446
Ugt1a5,-0.00017233288,0.42264977
Ugt1a2,0.0053350334,0.42264977
Dnajb3,0.0033135843,0.30784878
Mroh2a,-0.0043607545,0.18883584
Hjurp,0.035884693,0.49965978
Gm29538,-0.16286765,0.029766941
Glrp1,0.0032673776,0.4764228
Gm29336,0.00025545526,0.87411267
Arl4c,0.08379693,0.23189473
Platr5,0.0009251004,0.42264965
Sh3bp4,0.017653234,0.10004743
Agap1,0.026874945,0.2383688
Asb18,0.0,1.0
Iqca,0.21738124,0.073226
4930434B07Rik,0.003714666,0.4457883
Ackr3,0.019066274,0.5073984
Gm28723,0.0044090585,0.23994932
Cops8,0.05741939,0.40482715
Col6a3,0.01340759,0.16707513
Mlph,0.0024818196,0.68110526
Prlh,0.0,1.0
Gm28199,0.0,1.0
Lrrfip1,0.12717709,0.28409702
Rbm44,0.0,1.0
Ramp1,0.31849432,0.19801626
Ube2f,-0.043584153,0.30970064
Gm26683,-0.0006281847,0.27781013
Scly,-0.0020021833,0.94361585
Klhl30,-0.0013797872,0.36774385
Fam132b,0.0020663084,0.42264977
Ilkap,0.07021983,0.042465653
Hes6,-0.09709109,0.10216178
Per2,0.04167871,0.17428201
Traf3ip1,0.027023226,0.15070732
Asb1,-0.010962723,0.27334458
Gm29100,0.0,1.0
Twist2,0.001396626,0.37234154
Hdac4,0.049074277,0.30539927
Gm26720,0.0037631767,0.4993288
Ndufa10,-0.051143974,0.42197624
Myeov2,-0.20767003,0.20815867
Otos,-0.0007975157,0.42264965
Gm29483,-0.0005608702,0.4226497
Gpc1,-0.016734919,0.08909661
Gm29480,-0.00024548505,0.42264965
Ankmy1,-0.0009150272,0.27840444
Dusp28,0.010313854,0.44668505
