gene,log2FC,p
Gm29113,0.0,1.0
Gm29114,0.0,1.0
Ikzf2,-0.05431082,0.22393194
Spag16,0.0078067426,0.31862137
Vwc2l,0.0,1.0
Bard1,-0.003173797,0.35236293
Atic,0.024130434,0.5163693
Fn1,0.004127137,0.5177467
Apol7d,0.0,1.0
4933417E11Rik,0.0,1.0
Mreg,0.0016586517,0.34891775
D230017M19Rik,-8.477084e-05,0.9939594
Pecr,0.0012586229,0.8783186
Tmem169,2.163765e-05,0.9934467
Xrcc5,0.01432658,0.55852526
March4,-0.0014084979,0.4226497
Smarcal1,0.020240646,0.10325595
Rpl37a,-0.17460263,0.28838328
Igfbp2,-0.06020975,0.6546101
Igfbp5,-0.02755335,0.53157294
6030407O03Rik,-0.0063088406,0.09676121
Tns1,-0.00958927,0.59231704
Rufy4,0.0,1.0
Cxcr2,0.0017083365,0.42264965
Cxcr1,0.0,1.0
Arpc2,-0.016808003,0.8327694
Aamp,0.026248813,0.74825835
Pnkd,0.034996152,0.367097
Tmbim1,-0.0072036386,0.5353132
Catip,0.018043265,0.07762661
Slc11a1,0.006560498,0.6133192
Ctdsp1,-0.020866081,0.38701203
Vil1,0.0,1.0
Usp37,-0.020342462,0.15747957
Rqcd1,-0.0024080873,0.80816036
Plcd4,-0.01139003,0.9021161
Zfp142,0.006314881,0.6480954
Bcs1l,0.024734609,0.36363405
Rnf25,0.022475086,0.21784149
Stk36,0.0056201937,0.27448004
Ttll4,-0.00040975958,0.98642826
Cyp27a1,0.027156586,0.09748919
Prkag3,0.0036609296,0.28816056
Wnt6,0.003758858,0.31409538
Wnt10a,0.004815256,0.30638933
Cdk5r2,-0.0025315091,0.55248094
Ccdc108,0.000752921,0.7368445
Ihh,0.0,1.0
Nhej1,0.011195104,0.3333328
Slc23a3,0.0,1.0
Cnppd1,0.034965888,0.16513954
Fam134a,0.0496663,0.13052258
Zfand2b,0.008283518,0.80289483
Abcb6,-0.010884497,0.47056982
Atg9a,-0.010896742,0.7538882
Ankzf1,-0.0022119656,0.9099322
Glb1l,0.015027337,0.26345396
Stk16,0.0027942657,0.9438474
Tuba4a,-0.047258377,0.67246175
Dnajb2,-0.02948749,0.3767928
Ptprn,0.0119849155,0.36397374
Resp18,0.0036751907,0.4226497
Dnpep,-0.007973596,0.8050304
Des,0.0017138111,0.1882077
Speg,0.012618758,0.61751395
Gmppa,0.025424458,0.17681874
Asic4,-0.0023507804,0.42264977
Chpf,-0.011452705,0.6670027
Obsl1,0.0025699586,0.7487526
Tmem198,-0.00027914904,0.9776904
Inha,-0.0025298172,0.48847452
Stk11ip,-0.020230044,0.034771573
Slc4a3,0.01669214,0.3381402
Gm17751,0.0,1.0
Gm816,0.0004034424,0.42264965
Epha4,-0.018091246,0.46977845
Pax3,0.0005181383,0.82743645
Sgpp2,0.0024551195,0.21254016
Farsb,0.012851156,0.7228281
BC035947,0.0,1.0
Mogat1,0.015773421,0.30447102
Acsl3,-0.31464684,0.14854404
Utp14b,-0.2584267,0.008711339
Kcne4,0.0,1.0
Scg2,-0.009282623,0.29638392
Ap1s3,0.0,1.0
Wdfy1,0.030535802,0.5501346
Mrpl44,-0.0087391585,0.6146287
Serpine2,-0.03813243,0.7342894
9830004L10Rik,0.0,1.0
Fam124b,0.0,1.0
2310015K22Rik,0.0,1.0
Cul3,0.046706885,0.18095997
Dock10,0.02929382,0.07289044
Nyap2,0.0010189037,0.4226497
Irs1,-0.010686804,0.42399797
Rhbdd1,0.007930454,0.59725714
Gm28940,0.0,1.0
Col4a4,-0.0026216495,0.42214018
Col4a3,0.0,1.0
Mff,0.007521391,0.93396217
Agfg1,0.010488905,0.6492745
Slc19a3,0.00054595486,0.42264965
Krtap28-13,0.0,1.0
Ccl20,0.0,1.0
Daw1,0.00054556906,0.67281747
Sphkap,-0.0006426538,0.8512049
Pid1,0.0085552335,0.7559013
Dner,-0.00923188,0.4327304
Trip12,-0.020155057,0.64967567
Fbxo36,0.015505463,0.35922834
Slc16a14,0.0,1.0
C130026I21Rik,0.0,1.0
A530032D15Rik,0.0,1.0
A530040E14Rik,0.0,1.0
G530012D18Rik,0.0,1.0
Sp110,-0.0040407754,0.32233486
Gm16094,0.0,1.0
Sp140,-2.5190413e-05,0.99655676
Sp100,0.0042652916,0.63447
A630001G21Rik,0.0061102808,0.63774097
Cab39,-0.020151585,0.4856582
Itm2c,-0.20298362,0.07952258
4933407L21Rik,-0.00508162,0.26799622
Gm28884,0.0,1.0
Gpr55,0.0020222412,0.21804114
Spata3,0.0145684965,0.17106739
2810459M11Rik,-0.020861387,0.79291517
Psmd1,0.013749301,0.47827432
Htr2b,-0.0006617268,0.88074684
Gm21972,0.0018372447,0.42264965
Armc9,0.011064982,0.43467695
B3gnt7,0.0,1.0
Gm28626,0.0,1.0
Ncl,0.05411607,0.17410888
Ptma,0.023929,0.80695915
Pde6d,-0.02669999,0.31905615
Cops7b,0.008759413,0.6433999
Nppc,0.0022231247,0.39288312
