gene,log2FC,p
Gm17751,0.0,1.0
Gm816,0.0,1.0
Epha4,0.109506205,0.3341733
Pax3,0.0,1.0
Sgpp2,-0.04958333,0.6911726
Farsb,0.066087425,0.20701641
BC035947,0.0,1.0
Mogat1,0.0021457507,0.22479555
Acsl3,-0.03069155,0.6201215
Utp14b,-0.049764343,0.4873405
Kcne4,-0.041162413,0.24344772
Scg2,0.0020232908,0.22815037
Ap1s3,-0.035493586,0.15903537
Wdfy1,0.023187488,0.7436233
Mrpl44,-0.03039921,0.6525097
Serpine2,-0.06564328,0.42548636
9830004L10Rik,0.0,1.0
Fam124b,-0.030790396,0.3849417
2310015K22Rik,0.0,1.0
Cul3,-0.05869049,0.4804149
Dock10,-0.023831785,0.69987124
Nyap2,0.0,1.0
Irs1,-0.008980883,0.47834882
Rhbdd1,-0.020198654,0.31303385
Gm28940,0.0,1.0
Col4a4,-0.0016106209,0.82914525
Col4a3,-0.0034893295,0.57723284
Mff,0.018516839,0.8025779
Agfg1,-0.05047661,0.4765428
Slc19a3,-0.15302087,0.19444837
Krtap28-13,-0.024798539,0.09139226
Ccl20,-0.0013145275,0.74908185
Daw1,0.003482027,0.4226497
Sphkap,0.0,1.0
Pid1,0.049302585,0.29191905
Dner,-0.0071446695,0.42264977
Trip12,-0.05087456,0.43694702
Fbxo36,-0.024923878,0.19584481
Slc16a14,0.0,1.0
C130026I21Rik,0.04168647,0.10072609
A530032D15Rik,0.0186048,0.239317
A530040E14Rik,0.02750298,0.4949031
G530012D18Rik,0.0,1.0
Sp110,-0.008201912,0.70122725
Gm16094,0.0,1.0
Sp140,0.061079524,0.09534735
Sp100,0.0063027143,0.90441644
A630001G21Rik,0.011213437,0.41751662
Cab39,-0.074374676,0.36691257
Itm2c,0.14810425,0.46993372
4933407L21Rik,-0.0018295497,0.5185389
Gm28884,0.0,1.0
Gpr55,0.011833315,0.4226497
Spata3,0.004397962,0.42264965
2810459M11Rik,0.0033607269,0.4226497
Psmd1,0.10027015,0.37473246
Htr2b,0.0,1.0
Gm21972,0.0,1.0
Armc9,0.017478686,0.42361552
B3gnt7,-0.0026435773,0.6181971
Gm28626,0.0,1.0
Ncl,0.1255604,0.3036841
Ptma,0.07613015,0.76065516
Pde6d,0.06670168,0.21846958
Cops7b,-0.01690666,0.5573343
Nppc,-0.004763142,0.6547617
Dis3l2,0.029007867,0.35702592
Ecel1,0.0,1.0
Chrng,0.0,1.0
Eif4e2,0.057070732,0.48899195
Efhd1,-0.0033957176,0.93906564
Efhd1os,0.0,1.0
Gigyf2,-0.06749672,0.13217196
Kcnj13,-0.00044435356,0.9461498
3110079O15Rik,0.0,1.0
Ngef,0.0033257888,0.56012654
Neu2,0.0,1.0
Inpp5d,-0.10428779,0.351597
Atg16l1,-0.06409073,0.10509089
Sag,-0.0026608966,0.66455996
Dgkd,0.027896166,0.4016998
Gm19582,0.0,1.0
Usp40,0.03939861,0.28247318
Ugt1a7c,-0.0030672858,0.4226497
Ugt1a6a,0.0,1.0
Ugt1a5,-0.004768762,0.4226497
Ugt1a2,0.0,1.0
Dnajb3,0.0027121531,0.2730406
Mroh2a,0.001386898,0.42264965
Hjurp,-0.003768921,0.86400664
Gm29538,0.001836196,0.42264977
Glrp1,0.0042362087,0.42264977
Gm29336,0.0,1.0
Arl4c,-0.0016266406,0.97465557
Platr5,0.0,1.0
Sh3bp4,-0.028340742,0.5236002
Agap1,-0.042500332,0.4577456
Asb18,-0.0015877754,0.4226497
Iqca,0.0007884968,0.4226497
4930434B07Rik,0.0,1.0
Ackr3,-0.20020594,0.12551689
Gm28723,-0.0043348395,0.4226497
Cops8,-0.046921432,0.5206037
Col6a3,0.0003275252,0.93582165
Mlph,0.0068460926,0.8500871
Prlh,0.0,1.0
Gm28199,0.0,1.0
Lrrfip1,-0.1343358,0.08509462
Rbm44,0.0,1.0
Ramp1,-0.057914015,0.39440545
Ube2f,-0.0027934462,0.9324166
Gm26683,0.0,1.0
Scly,0.014595747,0.5106657
Klhl30,0.0,1.0
Fam132b,0.0,1.0
Ilkap,-0.06411788,0.18716927
Hes6,0.022404086,0.5827583
Per2,0.011509277,0.68527925
Traf3ip1,0.015562115,0.33553714
Asb1,-0.03779438,0.44165197
Gm29100,0.0,1.0
Twist2,0.0,1.0
Hdac4,-0.0031631738,0.8969537
Gm26720,0.0022903422,0.18591285
Ndufa10,0.035523653,0.6671548
Myeov2,-0.058286846,0.24242908
Otos,0.0,1.0
Gm29483,0.0,1.0
Gpc1,-0.004418741,0.68704194
Gm29480,0.0,1.0
Ankmy1,0.0,1.0
Dusp28,-0.0025161728,0.9153301
5033417F24Rik,0.007411566,0.0098478915
Rnpepl1,-0.050524652,0.5704139
9430060I03Rik,0.006537687,0.54415774
Capn10,0.00017853826,0.99083
Gpr35,-0.0022186649,0.6922656
Kif1a,0.05008168,0.42780545
Gm28086,0.0,1.0
2310007B03Rik,0.0,1.0
Crocc2,0.0,1.0
Sned1,-0.014815733,0.5163403
Mterf4,-0.027561348,0.3928891
Gm28535,0.0,1.0
Pask,-0.0012165667,0.4226497
Ppp1r7,0.09364194,0.14167012
Ano7,0.0052875187,0.4226497
Hdlbp,-0.05379212,0.28919053
Sept2,-0.12068674,0.029551703
Farp2,-0.0017795339,0.87397665
Stk25,0.038843676,0.48922977
Gm28536,0.0,1.0
Bok,-0.10864279,0.29418442
Thap4,0.010907166,0.3828192
Gm10550,0.0,1.0
Atg4b,0.007603906,0.806022
Dtymk,0.05609768,0.21365541
Ing5,0.009196788,0.7377609
D2hgdh,0.016074067,0.38886935
Neu4,-0.0007660091,0.9580842
Pdcd1,0.0,1.0
Fam174a,0.025037408,0.7743306
St8sia4,-0.04720974,0.813416
Slco4c1,0.0,1.0
Panct2,-0.0030672858,0.4226497
Gm28901,0.0,1.0
D1Ertd622e,0.014231004,0.6748034
Ppip5k2,0.004300894,0.8180539
Gin1,0.02322115,0.3795616
Pam,-0.09908801,0.095212996
1810006J02Rik,0.0,1.0
Gm7967,-0.003514421,0.42264965
Cntnap5b,0.0,1.0
Gm28187,-0.0011983202,0.8009577
Cdh20,0.0031573162,0.7280315
Rnf152,-0.017098311,0.51044333
Gm17634,-0.0054415306,0.55745083
Pign,-0.0025294423,0.8385849
2310035C23Rik,-0.019676834,0.5322141
Tnfrsf11a,-0.01813826,0.544259
Gm7160,-0.002479529,0.8890769
Zcchc2,-0.0074904673,0.8493114
Gm20753,0.0030766053,0.4226497
Phlpp1,-0.0021138936,0.9659985
A530053M12Rik,0.0,1.0
Bcl2,0.071844295,0.075538635
D630008O14Rik,0.006176432,0.29092094
Kdsr,-0.042853676,0.43923187
Vps4b,-0.0463385,0.48626858
Serpinb5,0.0,1.0
Serpinb12,0.0,1.0
Serpinb2,-0.015840052,0.42264977
Serpinb10,-0.00270425,0.42264977
Serpinb8,0.0,1.0
Cdh7,0.0,1.0
Cdh19,0.0015641451,0.9421612
Dsel,0.009307494,0.68934584
9330185C12Rik,0.0,1.0
Cntnap5a,0.0,1.0
Tsn,0.025763541,0.74859226
Nifk,-0.04037364,0.48170552
Clasp1,-0.054528125,0.38185003
2900060B14Rik,0.019382685,0.76014453
Tfcp2l1,0.00015544955,0.4226497
Gli2,0.0005274727,0.42264965
Gm26831,0.0,1.0
Gm29455,0.0017897811,0.42264965
Inhbb,0.0030958224,0.31830487
Ralb,0.07551631,0.5764796
Gm27184,0.0,1.0
Tmem185b,0.03023836,0.3523463
Epb41l5,0.021046318,0.11916019
Ptpn4,-0.033587795,0.27970257
Tmem177,0.014019649,0.386095
Cfap221,0.0,1.0
Sctr,0.00060207926,0.42264977
Tmem37,0.024890315,0.54735595
Dbi,0.060504377,0.682276
3110009E18Rik,-0.018582284,0.07945699
Steap3,-0.0037512686,0.8687409
C1ql2,0.0023322313,0.4226497
En1,0.0,1.0
Celrr,0.0,1.0
Insig2,0.07026048,0.1656571
Ccdc93,0.016757112,0.42368838
Htr5b,0.0,1.0
Ddx18,-0.06352681,0.505721
Dpp10,0.0,1.0
Actr3,-0.047924757,0.6263935
Slc35f5,-0.035548374,0.2176644
Gpr39,-0.008199733,0.4226497
Lypd1,-0.013313323,0.76588434
Nckap5,0.019434253,0.20077853
Mgat5,0.031771865,0.2796714
Tmem163,-0.005352717,0.7856281
2900009J06Rik,-0.007507256,0.37392744
Ccnt2,-0.03050372,0.48825228
Map3k19,-0.0017521614,0.4226497
Rab3gap1,-0.017882004,0.64314425
Zranb3,0.016164947,0.38258165
Gm28800,0.0,1.0
R3hdm1,0.01760152,0.21630533
Ubxn4,0.04574898,0.3713319
Lct,0.002831566,0.42264965
Mcm6,0.006900072,0.8856663
Dars,-0.010204405,0.81456375
Cxcr4,0.04128518,0.25498596
Thsd7b,0.0,1.0
Cd55b,0.0,1.0
Gm15675,0.018634848,0.13987401
Cd55,0.06857536,0.18660872
Gm16083,0.0,1.0
Gm29427,0.0016045299,0.42264965
Pfkfb2,0.02193648,0.10996051
Yod1,-0.026193775,0.494291
AA986860,-0.0076356083,0.49029997
Fcmr,0.14685607,0.030005265
Il10,0.00096441066,0.42264977
Mapkapk2,-0.035716087,0.733329
Dyrk3,-0.010938427,0.44746757
Eif2d,-0.057060942,0.14546762
Rassf5,-0.027493509,0.19582549
Ikbke,-0.00030508405,0.93921965
Gm28913,0.0,1.0
Srgap2,-0.02741158,0.79875296
Fam72a,0.0110678505,0.578972
Ctse,-0.0058121597,0.7154378
Rab7b,0.00041488302,0.89128953
Slc26a9,0.0,1.0
Pm20d1,0.0,1.0
Slc41a1,0.041480638,0.34722897
Rab29,0.026317924,0.14071558
Nucks1,-0.014259815,0.8542701
Slc45a3,0.0030892699,0.26236987
Elk4,0.03077373,0.6024967
Mfsd4,-0.03832017,0.18818246
Gm26892,0.0,1.0
Cdk18,0.0058878097,0.44910893
Gm29629,0.0,1.0
Lemd1,0.0,1.0
Klhdc8a,0.0005274727,0.42264965
Nuak2,0.017033279,0.71326613
Tmcc2,-0.047417335,0.32296637
Dstyk,0.027685218,0.49649155
Rbbp5,0.0046463013,0.90088403
Tmem81,-0.018327646,0.42612168
Cntn2,-0.0055125356,0.89132977
Nfasc,0.023912575,0.53214043
Gm10538,0.0,1.0
Lrrn2,-0.0066358014,0.4226497
Mdm4,-0.058590665,0.3978515
Pik3c2b,0.009592913,0.7873035
Gm28609,0.0,1.0
Ppp1r15b,0.048689082,0.30226025
Plekha6,0.003760436,0.36305547
Gm19461,0.0,1.0
Ren1,0.0,1.0
Etnk2,0.013959114,0.050549075
Sox13,0.014341593,0.8388795
Snrpe,-0.008266807,0.9441379
Zc3h11a,0.033972077,0.49166209
Gm38394,0.0061456636,0.4723726
Lax1,0.015362481,0.063717246
Atp2b4,-0.012351476,0.507031
Optc,0.0,1.0
Gm15851,0.0,1.0
Prelp,0.052527286,0.30347186
Fmod,-0.0033358317,0.4226497
Btg2,-0.33506298,0.2601925
Chil1,-0.0030672858,0.4226497
Mybph,0.002427714,0.4226497
Adora1,-0.014358062,0.52405673
Myog,0.0,1.0
Ppfia4,0.025772609,0.3911053
Tmem183a,0.0006632209,0.9906833
Cyb5r1,-0.020177424,0.62882054
Adipor1,0.10668227,0.36703828
Platr1,0.0,1.0
Klhl12,-0.032440692,0.2608986
Rabif,0.002016805,0.9569397
Kdm5b,-0.017234154,0.6335429
Syt2,0.0,1.0
Ppp1r12b,-0.042324487,0.18602225
Gm28892,0.0,1.0
Ube2t,-0.008851161,0.29274547
Lgr6,0.0,1.0
Ptpn7,-0.01840141,0.096435964
Arl8a,0.043990567,0.31209525
Gm15445,-0.008294583,0.18352042
Gpr37l1,0.0059641562,0.8880276
Gm26642,0.0,1.0
Elf3,0.0,1.0
Rnpep,-0.02670309,0.51712793
Timm17a,0.067307174,0.38277522
Lmod1,-0.012771269,0.4125362
Shisa4,0.032446742,0.61351967
Ipo9,0.07482483,0.44725344
Nav1,0.04245329,0.5464878
Gm4793,0.0,1.0
Gm38399,-0.008668449,0.51626515
Csrp1,0.010117412,0.90025645
Phlda3,0.017420188,0.49796194
Tnni1,-0.0007217247,0.9651016
Lad1,0.0,1.0
Tnnt2,0.0,1.0
Igfn1,0.0,1.0
Tmem9,-0.012686461,0.76755226
Cacna1s,-0.023274416,0.26629567
Gm37759,0.0,1.0
Kif21b,0.010331646,0.6321404
Mroh3,0.0016579475,0.42264977
5730559C18Rik,0.0008068334,0.4226497
Gm26568,0.0,1.0
Gm26781,0.0,1.0
Camsap2,0.06350565,0.27852193
Ddx59,0.0001869537,0.9901984
Kif14,0.0,1.0
Platr23,0.0,1.0
Zfp281,0.004421994,0.904943
Gm19705,0.009790991,0.5401072
Platr22,0.015322434,0.061536588
Nr5a2,-0.012546245,0.08186682
A430106G13Rik,0.003249684,0.6497182
Ptprc,-0.018253446,0.76503634
Nek7,-0.09424496,0.03955181
Lhx9,0.0009156671,0.42264977
2310009B15Rik,0.026470501,0.39388573
Dennd1b,0.004632488,0.9193073
Crb1,0.0,1.0
