gene,log2FC,p
1700019D03Rik,-0.00020771846,0.9448019
Mstn,0.0,1.0
1700019A02Rik,0.0,1.0
Pms1,0.0039877333,0.33250254
Ormdl1,0.009230271,0.2199094
Osgepl1,0.008711714,0.16465291
Gm28551,-8.9283654e-05,0.8680922
Asnsd1,0.022774778,0.09617402
Dnah7a,-0.0016836664,0.31618595
Stk17b,-0.08333832,0.13970225
Hecw2,0.00046801567,0.7810359
Ccdc150,0.0007230525,0.42264965
Gtf3c3,0.0068507977,0.13994251
Pgap1,0.008143889,0.2266428
Ankrd44,-0.03325355,0.44372705
4930444A19Rik,0.00033369046,0.42264977
Sf3b1,-0.0059113503,0.9038981
Coq10b,0.01903236,0.78454155
Hspd1,0.019512117,0.73153955
Hspe1,-0.02607894,0.75974053
Mob4,0.046340078,0.09438151
Rftn2,0.0028207926,0.070075564
Gm10561,-0.0009080196,0.3900357
Mars2,0.004804505,0.064326905
Boll,0.00058528234,0.41130847
Plcl1,0.009009749,0.56437296
Satb2,0.00055703847,0.62416315
BC055402,0.0,1.0
4930558J18Rik,0.0,1.0
1700066M21Rik,0.00093613565,0.8360106
Tyw5,-0.006190289,0.2862546
9430016H08Rik,-0.0009526834,0.897111
Spats2l,0.00083281146,0.4722369
Kctd18,0.010769919,0.109243765
Sgol2a,8.896645e-05,0.6409837
Aox1,0.00050387473,0.41195896
Aox3,0.0,1.0
Aox4,0.0,1.0
Bzw1,0.0376305,0.43205795
Clk1,0.1452254,0.12648495
Ppil3,0.0115017,0.48569623
Nif3l1,0.016326115,0.069086805
Orc2,0.0032894462,0.7559175
Gm15834,0.0014790015,0.25093332
Fam126b,0.01167348,0.37388128
Ndufb3,-0.10507208,0.013496135
Als2cr12,0.00026370303,0.67503476
Cflar,-0.039831102,0.2193274
Casp8,0.0028002858,0.9447212
Trak2,0.0013797842,0.78041536
Stradb,0.004171446,0.7631709
Tmem237,-0.012025669,0.18932386
G730003C15Rik,-0.0012745679,0.28936797
Mpp4,-0.00023916487,0.42264977
Als2,0.0031495392,0.61738163
Cdk15,0.0,1.0
Fzd7,0.022445187,0.3362125
Gm973,0.0011304813,0.22051683
Gm28411,0.0,1.0
Sumo1,-0.03557259,0.26449564
Nop58,0.050007224,0.1561194
Bmpr2,-0.030257583,0.23857582
Fam117b,0.016618848,0.69282156
Ica1l,0.00074070785,0.77644336
Wdr12,0.020772144,0.201127
Carf,-0.003280053,0.57625836
Nbeal1,-0.026501864,0.058936067
Cyp20a1,0.03749056,0.04968326
Abi2,0.010657266,0.46845326
Raph1,0.0055121034,0.43631715
Cd28,0.00013496209,0.61252916
Ctla4,-0.00020141699,0.59867173
Icos,0.0022032182,0.3542705
Pard3b,-0.0031031333,0.69199663
Pard3bos1,0.000516103,0.7705255
Nrp2,0.00037676096,0.9616137
Gm29083,-2.0232153e-05,0.956142
Ino80d,0.0022699237,0.9132552
Ino80dos,-0.0018884097,0.58021265
Gm20342,0.013164878,0.44501513
Ndufs1,0.008417606,0.5336902
Eef1b2,-0.099592686,0.5015608
Gpr1,0.0,1.0
Zdbf2,0.0009669268,0.24531898
Adam23,0.001368698,0.4824592
Dytn,0.0,1.0
Mdh1b,-0.0001853776,0.6135615
Fastkd2,0.014723197,0.0065667783
4933402D24Rik,0.0,1.0
Klf7,-0.033416867,0.2711346
Gm26649,-0.0042654583,0.20857365
Gm28981,-0.00043950183,0.42264977
Creb1,-0.020576775,0.35150072
Mettl21a,0.009639919,0.4834365
Ccnyl1,-0.00033510104,0.93512464
Fzd5,0.0028562844,0.80244297
Plekhm3,0.020371236,0.39237228
D630023F18Rik,0.00057129055,0.28812817
Idh1,0.019171134,0.24762422
Pikfyve,0.005717337,0.45645973
Map2,0.004887865,0.36499712
Gm10558,0.0,1.0
Unc80,0.0015796898,0.061657973
Rpe,0.0014110729,0.8205716
Kansl1l,0.0252814,0.57255685
Acadl,0.009569943,0.4463193
Myl1,0.00016509117,0.42264965
Lancl1,0.011005618,0.102518655
Erbb4,0.0010833143,0.54212075
Gm28497,-0.00048886315,0.18687491
Gm29113,0.0,1.0
Gm29114,0.0,1.0
Ikzf2,-0.006401032,0.7001772
Spag16,-0.00027263624,0.6907973
Vwc2l,0.0,1.0
Bard1,0.0011910188,0.44426614
Atic,0.00914713,0.28407994
Fn1,0.0037426644,0.20320038
Apol7d,0.00015010807,0.4226497
4933417E11Rik,0.0,1.0
Mreg,-0.00022495238,0.7544785
D230017M19Rik,-0.0003809668,0.9168028
Pecr,0.041819423,0.12679313
Tmem169,0.00021977251,0.7981209
Xrcc5,0.007652156,0.5514197
March4,8.39635e-05,0.8163385
Smarcal1,0.0074404106,0.01478075
Rpl37a,-0.17585635,0.17460343
Igfbp2,-0.006897741,0.0022247299
Igfbp5,0.0011284797,0.39047205
6030407O03Rik,0.00027831583,0.42264965
Tns1,0.013585329,0.5397843
Rufy4,0.00014093549,0.7386968
Cxcr2,-0.0010758173,0.75861317
Cxcr1,0.00047213526,0.4226497
Arpc2,0.018982649,0.24011146
Aamp,0.027683318,0.24605091
Pnkd,0.010083526,0.4628561
Tmbim1,0.022184148,0.043575723
Catip,0.015498251,0.40163723
Slc11a1,0.092651725,0.06626803
Ctdsp1,0.035823315,0.16542628
Vil1,0.00010811676,0.760497
Usp37,-0.009478807,0.4177099
Rqcd1,0.014615577,0.09449794
Plcd4,0.0014911019,0.3444099
Zfp142,0.0067026652,0.370454
Bcs1l,0.015230659,0.14634886
Rnf25,0.02109458,0.1896328
Stk36,-0.00011804607,0.90784395
Ttll4,0.00050264224,0.96411407
Cyp27a1,0.024014436,0.19296104
Prkag3,0.000104937964,0.4226497
Wnt6,0.00022637121,0.6727201
Wnt10a,0.0,1.0
Cdk5r2,-0.00024940958,0.7444225
Ccdc108,-0.000272193,0.8922234
Ihh,0.00021439655,0.4226497
Nhej1,0.0034856722,0.07923467
Slc23a3,0.00029940187,0.27949792
Cnppd1,0.04474643,0.4711519
Fam134a,0.04175651,0.49959856
Zfand2b,0.018899001,0.20817924
Abcb6,0.015485298,0.0017014674
Atg9a,0.014922507,0.27086505
Ankzf1,0.022836316,0.012595132
Glb1l,0.010142994,0.02217687
Stk16,0.023928404,0.16983184
Tuba4a,0.021225847,0.16503087
Dnajb2,-0.011892065,0.44091716
Ptprn,0.0005102027,0.91374147
Resp18,0.0015739282,0.15291156
Dnpep,0.0509398,0.077184394
Des,-0.00055666885,0.44154415
Speg,0.018543132,0.20304948
Gmppa,0.024726376,0.19238813
Asic4,-0.0006302435,0.58408767
Chpf,0.006300914,0.124511905
Obsl1,0.00020078043,0.65063107
Tmem198,-0.00047627767,0.60469735
Inha,0.00017778671,0.653072
Stk11ip,0.007072389,0.5374283
Slc4a3,0.001863048,0.26094124
Gm17751,-0.00041166568,0.42264977
Gm816,0.0,1.0
Epha4,0.0026879422,0.1344724
Pax3,-0.00019072066,0.4226497
Sgpp2,0.0007819697,0.3937003
Farsb,0.013590306,0.5040606
BC035947,0.00028008386,0.4226497
Mogat1,0.0005912571,0.4059462
Acsl3,0.0043080896,0.6666095
Utp14b,0.00038689747,0.94765735
Kcne4,0.0003150216,0.4226497
Scg2,0.0012521399,0.44624597
Ap1s3,0.00020372053,0.9084543
Wdfy1,0.06405519,0.6014128
Mrpl44,0.02747994,0.0052397233
Serpine2,-0.070913136,0.47865027
9830004L10Rik,0.0,1.0
Fam124b,0.0,1.0
2310015K22Rik,0.0,1.0
Cul3,-0.024914086,0.116306186
Dock10,0.015492737,0.4586299
Nyap2,-7.988961e-05,0.79670346
Irs1,0.00011517614,0.87796605
Rhbdd1,0.009450696,0.09191993
Gm28940,0.0002434846,0.71015894
Col4a4,0.00029639597,0.7658389
Col4a3,0.0,1.0
Mff,-0.023080736,0.07550043
Agfg1,0.01572904,0.261468
Slc19a3,0.00012638829,0.7502073
Krtap28-13,-0.00022740173,0.4226497
Ccl20,0.00015896973,0.4226497
Daw1,-0.00062901457,0.60139334
Sphkap,-0.0003291801,0.6249543
Pid1,0.0028744042,0.97013146
Dner,0.0033186835,0.23126292
Trip12,-0.011380836,0.40232205
Fbxo36,0.0008262899,0.8227415
Slc16a14,0.00025036,0.7630518
C130026I21Rik,-0.013641916,0.2884682
A530032D15Rik,0.00021539535,0.9465612
A530040E14Rik,0.0025828711,0.4659838
G530012D18Rik,7.435956e-05,0.90337306
Sp110,0.06704371,0.086263955
Gm16094,0.00030368526,0.6366308
Sp140,0.033865765,0.018438764
Sp100,0.06966122,0.3335255
A630001G21Rik,0.033405393,0.3150352
Cab39,0.027892947,0.20493227
Itm2c,0.057267785,0.5058599
4933407L21Rik,-0.00036557636,0.70950454
Gm28884,0.0,1.0
Gpr55,0.00020477366,0.42264965
Spata3,0.0,1.0
2810459M11Rik,-0.00029775954,0.6013439
Psmd1,0.05497521,0.2520662
Htr2b,0.00053558225,0.23076832
Gm21972,0.00014159945,0.59234756
Armc9,0.0030481108,0.48493516
B3gnt7,0.0034257658,0.52910364
Gm28626,0.0,1.0
Ncl,0.14060849,0.061732512
Ptma,-0.033049583,0.6651159
Pde6d,-0.003219068,0.7759057
Cops7b,0.004449943,0.24364598
Nppc,0.00028629124,0.81506276
Dis3l2,0.011720706,0.17825918
Ecel1,0.00054666825,0.52562773
Chrng,1.5091064e-05,0.9639079
Eif4e2,0.01512748,0.56856877
Efhd1,0.005440049,0.5578907
Efhd1os,-0.00017151271,0.4226497
Gigyf2,0.015548468,0.41738805
Kcnj13,-0.0049360446,0.16700125
3110079O15Rik,3.8441285e-05,0.8936129
Ngef,0.00090040674,0.536572
Neu2,0.0,1.0
Inpp5d,-0.14752817,0.13082953
Atg16l1,0.023568973,0.10003957
Sag,0.005872488,0.6478901
Dgkd,0.070773944,0.19081794
Gm19582,0.0008368348,0.49348667
Usp40,0.013055645,0.43389776
Ugt1a7c,-0.0049610436,0.22049661
Ugt1a6a,0.0018148485,0.26837602
Ugt1a5,0.00010785445,0.69171315
Ugt1a2,-0.00048716762,0.4226497
Dnajb3,0.0014722581,0.25301194
Mroh2a,-0.00038882892,0.56885403
Hjurp,0.033082716,0.18010402
Gm29538,-0.0010448592,0.19263224
Glrp1,0.009781234,0.52015483
Gm29336,0.00026575057,0.92816067
Arl4c,-0.054308653,0.0763131
Platr5,0.0,1.0
Sh3bp4,0.0018371842,0.5548361
Agap1,0.010854956,0.11419267
Asb18,0.0,1.0
Iqca,0.00030310286,0.6681924
4930434B07Rik,0.0,1.0
Ackr3,-0.0005490945,0.8177359
Gm28723,0.0,1.0
Cops8,0.004301816,0.6941009
Col6a3,-0.02374323,0.10535337
Mlph,-0.055437326,0.24884716
Prlh,-0.00025312323,0.7419846
Gm28199,-0.00029343774,0.34340745
Lrrfip1,0.022835463,0.41976756
Rbm44,0.00053261116,0.41422042
Ramp1,-0.015402302,0.8208843
Ube2f,0.011344194,0.7510215
Gm26683,0.0007589737,0.016345957
Scly,0.006436903,0.3823803
Klhl30,0.0,1.0
Fam132b,0.0,1.0
Ilkap,-0.019798592,0.3367476
Hes6,0.03850294,0.06137705
Per2,0.015248356,0.35746247
Traf3ip1,0.004111151,0.34416547
Asb1,0.0022622123,0.6592717
Gm29100,0.0,1.0
Twist2,0.00019652896,0.42264965
Hdac4,0.018137686,0.04410624
Gm26720,-0.0007986205,0.6751888
Ndufa10,0.014108896,0.2844087
Myeov2,-0.005482614,0.9357434
Otos,0.00027520032,0.4226497
Gm29483,0.0,1.0
Gpc1,0.0024504948,0.19990689
Gm29480,0.0,1.0
Ankmy1,0.0,1.0
Dusp28,0.0051094014,0.27198943
5033417F24Rik,-0.0014406252,0.31800136
Rnpepl1,0.063786045,0.15634857
9430060I03Rik,0.0008700676,0.813966
Capn10,0.0042327177,0.34918958
Gpr35,0.007394716,0.67984873
Kif1a,0.020086763,0.3994403
Gm28086,0.0002476197,0.4226497
2310007B03Rik,0.0,1.0
Crocc2,0.0004490716,0.51208574
Sned1,-1.891004e-05,0.9941248
Mterf4,0.015503548,0.25577527
Gm28535,0.0009637543,0.3151907
Pask,0.0007112337,0.19781607
Ppp1r7,0.004843354,0.5938723
Ano7,0.003711992,0.4961529
Hdlbp,0.051051557,0.14726467
Sept2,-0.06962162,0.21677288
Farp2,-0.0039054574,0.17793633
Stk25,0.006579995,0.7351482
Gm28536,0.00027234352,0.4226497
Bok,4.5573805e-05,0.96729106
Thap4,0.004585527,0.7145492
Gm10550,0.0,1.0
Atg4b,0.011495419,0.35177472
Dtymk,-0.00011083484,0.9943268
Ing5,0.0067846105,0.53548586
D2hgdh,-0.0075844117,0.12582885
Neu4,0.008039242,0.39718914
Pdcd1,0.013629157,0.31757724
Fam174a,-0.006451577,0.8543074
St8sia4,0.008644562,0.29989606
Slco4c1,0.00014599155,0.4226497
Panct2,0.0,1.0
Gm28901,0.0009126775,0.4226497
D1Ertd622e,0.06654057,0.047307823
Ppip5k2,-0.008061096,0.58363885
Gin1,0.01197201,0.029184017
Pam,0.0027126146,0.3952976
1810006J02Rik,0.0,1.0
Gm7967,-0.0012447772,0.23921272
Cntnap5b,0.0,1.0
Gm28187,-0.00014947094,0.6640199
Cdh20,0.0012487478,0.5944146
Rnf152,-0.00064127066,0.2726509
Gm17634,0.0,1.0
Pign,0.0051097274,0.64123815
2310035C23Rik,-0.0030842423,0.80370027
Tnfrsf11a,0.006605327,0.8371471
Gm7160,-0.00014609843,0.9406267
Zcchc2,0.012559734,0.26767
Gm20753,0.0,1.0
Phlpp1,0.0023773946,0.8759321
A530053M12Rik,0.0,1.0
Bcl2,0.024874285,0.06762398
D630008O14Rik,-0.00021839904,0.4226497
Kdsr,-0.008581862,0.5037687
Vps4b,0.038244307,0.19503887
Serpinb5,0.00016921265,0.42264977
Serpinb12,0.0011537488,0.011206986
Serpinb2,0.0,1.0
Serpinb10,0.0,1.0
Serpinb8,0.00018191278,0.42264965
Cdh7,0.00010144389,0.7539076
Cdh19,0.0007307057,0.83389175
Dsel,0.0044301404,0.4584877
9330185C12Rik,0.0,1.0
Cntnap5a,0.0001392053,0.42264965
Tsn,0.0012769103,0.9568818
Nifk,0.049718633,0.010737883
Clasp1,0.00095817447,0.9158632
2900060B14Rik,-0.002178736,0.8739735
Tfcp2l1,0.00033380883,0.4623541
Gli2,0.00020297851,0.7013513
Gm26831,0.0,1.0
Gm29455,0.000729073,0.024976514
Inhbb,1.0676507e-05,0.99008477
Ralb,0.009639204,0.775507
Gm27184,0.00024717383,0.8209867
Tmem185b,0.05033073,0.10352709
Epb41l5,-0.0011877324,0.6011366
Ptpn4,-0.008793969,0.17325631
Tmem177,0.010222685,0.015285762
Cfap221,0.0,1.0
Sctr,-0.00051273097,0.50651157
Tmem37,-0.026933491,0.54883033
Dbi,0.019824386,0.7940252
3110009E18Rik,-0.0035858527,0.49355796
Steap3,0.00632718,0.020831095
C1ql2,0.002252933,0.12671104
