,0,1,2,3,4,5
Erbb4,1,1,1,2,1,0
Ikzf2,3,5,5,10,7,2
Bard1,0,0,0,1,1,0
Atic,6,5,9,19,29,3
Fn1,268,447,377,907,1049,358
Apol7d,0,0,0,1,1,0
Mreg,0,0,1,1,0,0
D230017M19Rik,1,1,1,3,6,0
Pecr,5,0,3,11,15,1
Tmem169,0,0,0,1,0,0
Xrcc5,5,0,5,6,3,3
March4,0,0,0,0,1,0
Smarcal1,3,2,2,11,14,2
Rpl37a,1010,1046,1389,1338,3856,511
Igfbp2,4,2,4,3,48,0
Igfbp5,3,1,0,6,5,0
6030407O03Rik,0,0,0,0,1,0
Tns1,121,119,158,219,478,71
Cxcr2,0,0,2,0,1,0
Arpc2,158,199,254,442,661,208
Aamp,43,28,57,90,173,41
Pnkd,52,29,75,134,163,36
Tmbim1,14,20,29,53,58,21
Catip,0,1,0,0,2,0
Slc11a1,0,1,7,8,15,0
Ctdsp1,22,26,40,79,109,37
Vil1,8,6,3,19,21,20
Usp37,4,3,9,21,26,8
Rqcd1,4,6,6,7,23,5
Plcd4,0,1,1,2,0,0
Zfp142,4,11,5,9,16,4
Bcs1l,3,2,3,9,13,0
Rnf25,9,4,9,11,20,3
Stk36,0,0,0,0,1,0
Ttll4,7,3,8,7,15,0
Cyp27a1,2,6,2,3,6,4
Cdk5r2,0,1,0,0,3,0
Ccdc108,0,1,0,0,0,0
Nhej1,4,1,2,6,2,0
Slc23a3,1,1,0,0,1,0
Cnppd1,16,11,16,27,74,22
Fam134a,16,19,25,61,64,19
Zfand2b,11,8,14,30,39,11
Abcb6,2,2,2,6,10,2
Atg9a,7,10,14,28,37,5
Ankzf1,8,1,10,9,17,1
Glb1l,1,3,1,5,5,0
Stk16,21,20,33,51,63,11
Tuba4a,11,18,11,34,57,10
Dnajb2,31,20,21,37,76,17
Ptprn,1,2,0,4,3,0
Dnpep,23,17,37,72,86,35
Des,32,10,20,46,61,1
Speg,7,1,1,5,14,1
Gmppa,6,6,5,9,26,4
Asic4,0,0,0,0,1,0
Chpf,2,1,2,3,5,1
Obsl1,2,0,4,2,8,0
Inha,0,0,0,0,1,0
Stk11ip,2,0,4,7,4,2
Slc4a3,7,2,3,9,4,4
Epha4,24,26,32,123,103,18
Sgpp2,43,15,40,74,105,14
Farsb,15,15,13,33,68,15
Mogat1,0,0,0,1,1,0
Acsl3,13,17,24,49,61,7
Utp14b,19,8,11,32,40,1
Kcne4,18,7,8,8,45,0
Scg2,0,0,0,0,1,1
Ap1s3,3,1,2,1,3,0
Wdfy1,11,12,6,42,77,4
Mrpl44,14,8,13,32,30,7
Serpine2,18,17,23,36,57,0
Fam124b,8,0,2,2,0,1
Cul3,27,32,51,83,87,22
Gm29125,0,1,0,0,0,0
Dock10,16,19,13,18,51,5
Irs1,3,0,1,1,5,0
Rhbdd1,8,5,7,7,21,6
Col4a4,0,1,1,1,7,1
Col4a3,1,1,2,3,4,1
Mff,48,42,70,109,163,25
Agfg1,47,44,67,106,141,30
Slc19a3,37,23,43,29,65,15
Krtap28-13,4,11,16,13,11,2
Ccl20,0,0,1,1,0,0
Daw1,0,0,0,0,1,0
Pid1,6,8,11,31,47,11
Dner,0,0,1,0,0,0
Trip12,21,29,43,66,103,23
Fbxo36,3,3,7,6,7,0
C130026I21Rik,0,0,1,3,7,2
A530032D15Rik,0,0,1,2,7,0
A530040E14Rik,0,6,1,5,13,2
Sp110,15,13,17,27,53,8
Sp140,5,6,8,14,39,7
Sp100,48,58,71,100,149,37
A630001G21Rik,2,4,5,7,18,2
Cab39,39,32,68,89,119,25
Itm2c,64,59,99,238,191,109
4933407L21Rik,0,1,0,1,0,0
Gpr55,0,0,0,2,0,0
Spata3,0,0,0,0,1,0
2810459M11Rik,0,0,0,2,0,0
Psmd1,38,34,47,90,125,57
Armc9,0,0,3,10,7,2
B3gnt7,0,0,1,0,1,0
Ncl,83,74,117,194,381,79
Ptma,961,875,1419,2696,3595,691
Pde6d,12,18,18,40,60,17
Cops7b,8,5,6,13,18,4
Nppc,1,3,1,2,2,1
Dis3l2,10,10,8,23,11,6
Eif4e2,17,17,33,41,58,18
Efhd1,2,6,1,3,13,6
Gigyf2,14,11,31,38,49,12
Kcnj13,0,0,2,1,2,0
Ngef,0,0,1,3,2,0
Inpp5d,28,17,24,28,64,7
Atg16l1,17,8,21,23,20,5
Sag,1,0,1,0,3,0
Dgkd,9,3,12,17,44,4
Usp40,5,8,16,26,24,8
Ugt1a7c,0,0,1,0,0,0
Ugt1a5,0,1,0,0,0,0
Dnajb3,0,0,0,2,1,0
Mroh2a,0,0,0,0,1,0
Hjurp,11,11,16,27,44,11
Gm29538,0,0,0,1,0,0
Glrp1,0,0,0,0,1,0
Arl4c,4,4,11,10,22,0
Sh3bp4,19,24,36,48,69,24
Agap1,8,22,26,34,56,12
Asb18,0,1,0,0,0,0
Iqca,0,0,0,0,1,0
Ackr3,53,24,67,54,179,8
Gm28723,0,0,2,0,0,0
Cops8,35,21,57,80,108,21
Col6a3,0,0,2,0,3,0
Mlph,9,2,4,6,22,2
Lrrfip1,27,22,40,34,60,19
Ramp1,11,6,6,14,10,1
Ube2f,18,24,19,31,47,24
Scly,5,6,5,13,18,4
