,0,1,2,3,4,5
Hspd1,1175,1147,1224,1520,925,978
Hspe1,1852,2005,1988,2022,1492,1347
Mob4,437,385,422,686,460,318
Rftn2,404,311,289,472,466,323
Gm10561,26,16,17,33,26,22
Mars2,62,69,78,106,96,33
Boll,0,0,0,2,0,0
Plcl1,1395,1932,1407,3505,2200,1522
Satb2,0,2,1,1,1,1
BC055402,1,2,0,1,4,0
1700066M21Rik,231,163,235,278,236,72
Tyw5,131,100,98,192,142,51
9430016H08Rik,156,126,153,239,187,99
Spats2l,63,42,64,96,82,25
Kctd18,133,117,138,203,163,81
Sgol2a,13,7,13,15,16,3
Aox1,19,11,7,13,11,9
Aox3,0,0,0,1,1,0
Bzw1,1162,976,1163,1757,1276,788
Clk1,1294,953,1231,2068,1929,1079
Ppil3,160,147,176,243,186,127
Nif3l1,65,50,53,77,55,45
Orc2,142,130,127,239,171,108
Gm15834,2,2,0,2,3,1
Fam126b,156,158,183,295,233,113
Ndufb3,1503,1282,1378,1804,1664,720
Als2cr12,0,1,0,0,2,0
Cflar,120,109,152,216,172,103
Casp8,17,21,22,36,31,24
Trak2,58,40,56,82,75,20
Stradb,66,61,74,127,71,39
Tmem237,418,305,436,504,370,179
G730003C15Rik,10,6,9,12,10,5
Mpp4,0,2,2,0,3,1
Als2,41,29,37,57,59,32
Cdk15,0,1,0,0,0,0
Fzd7,119,101,105,100,110,76
Gm973,1,4,0,3,1,2
Sumo1,999,891,884,1504,1038,611
Nop58,155,130,110,218,210,113
Bmpr2,375,343,321,568,430,155
Fam117b,173,155,159,276,220,93
Ica1l,3,1,2,2,4,0
Wdr12,143,132,140,170,168,117
Carf,60,58,50,120,100,48
Nbeal1,375,313,357,628,414,210
Cyp20a1,654,544,550,971,625,432
Abi2,270,221,254,441,288,189
Raph1,82,63,69,113,80,29
Cd28,0,0,0,1,0,1
Ctla4,0,0,2,0,0,1
Icos,0,1,0,2,0,0
Pard3b,2,7,6,15,15,3
Pard3bos1,1,2,0,0,0,0
Gm29084,0,0,0,0,1,0
Nrp2,127,91,122,180,181,56
Gm29083,105,37,64,98,76,30
Ino80d,308,246,284,457,410,184
Ino80dos,32,31,34,92,51,15
Gm20342,123,132,103,218,147,93
Ndufs1,413,367,417,691,553,332
Eef1b2,2499,2430,2449,3486,2697,1382
Zdbf2,1,1,0,1,3,1
Adam23,92,65,68,104,98,26
Mdh1b,2,1,0,2,1,1
Fastkd2,67,55,72,83,82,49
4933402D24Rik,0,0,1,0,2,0
Klf7,1273,1050,1111,2221,1467,961
Gm26649,18,14,16,32,32,1
Gm28981,0,0,0,1,1,0
Creb1,301,281,271,455,285,179
Mettl21a,44,45,64,87,65,48
Gm28982,0,0,0,0,1,0
Ccnyl1,113,99,106,193,144,69
Fzd5,39,24,23,59,83,17
Plekhm3,177,153,173,282,168,133
Akr1cl,0,0,0,1,0,0
Cryge,0,0,0,0,1,0
D630023F18Rik,0,0,0,1,0,0
Idh1,351,267,346,407,353,201
Pikfyve,188,154,171,311,225,134
Map2,137,123,129,242,172,56
Gm10558,1,0,1,0,0,0
Unc80,3,6,1,5,8,2
Rpe,207,210,197,358,211,125
Kansl1l,158,131,165,238,146,123
Acadl,637,488,518,874,738,372
Myl1,1,1,0,0,4,0
Lancl1,428,319,346,615,453,273
Erbb4,168,119,164,284,227,76
Gm28497,1,1,0,0,0,0
Gm29113,0,2,1,3,0,0
Gm29114,1,0,0,0,0,0
Ikzf2,388,487,302,373,322,279
Spag16,1,2,1,0,1,0
Bard1,2,1,3,2,6,2
Atic,162,141,166,257,198,124
Fn1,1,9,1,14,14,0
