,0,1,2,3,4,5
Actr3,30,99,23,134,51,40
Slc35f5,1,12,4,11,7,4
Lypd1,4,5,15,13,1,8
Nckap5,1,0,1,14,0,0
Mgat5,16,27,5,23,18,4
Tmem163,14,11,8,37,19,15
2900009J06Rik,0,2,0,4,7,1
Ccnt2,16,54,13,73,18,10
Rab3gap1,15,32,12,28,11,2
Zranb3,3,2,2,7,2,2
R3hdm1,35,114,43,132,92,20
Ubxn4,20,54,5,73,37,17
Lct,0,2,0,3,1,0
Mcm6,7,47,5,59,41,18
Dars,6,28,4,42,29,9
Cxcr4,16,7,13,56,18,4
Thsd7b,12,9,12,25,6,1
Cd55b,0,0,0,0,1,0
Cd55,0,4,0,0,0,0
Gm16083,0,0,1,0,0,0
Pfkfb2,1,11,2,6,4,1
Yod1,10,18,8,18,14,1
AA986860,1,1,0,0,0,0
Mapkapk2,4,23,4,24,15,12
Dyrk3,3,9,3,15,4,0
Eif2d,5,8,1,16,8,2
Rassf5,1,7,1,3,7,3
Ikbke,0,0,0,0,1,0
Srgap2,13,66,7,27,47,21
Fam72a,2,5,1,3,4,2
Ctse,0,0,0,0,1,0
Slc41a1,3,4,5,5,7,1
Rab29,0,5,3,1,0,0
Nucks1,97,145,43,199,98,31
Slc45a3,1,0,0,0,0,0
Elk4,8,16,3,15,5,2
Mfsd4,9,17,10,14,13,0
Gm26892,0,0,0,1,0,0
Cdk18,3,3,3,8,0,1
Lemd1,0,0,1,1,1,0
Klhdc8a,1,2,0,3,0,0
Nuak2,1,8,0,9,7,9
Tmcc2,15,17,7,21,13,2
Dstyk,8,19,10,25,14,3
Rbbp5,10,16,2,20,9,2
Tmem81,1,1,0,1,2,0
Cntn2,11,17,8,20,24,1
Nfasc,15,31,25,57,48,6
Lrrn2,14,50,22,27,20,9
Mdm4,19,40,10,52,27,10
Pik3c2b,6,7,3,8,9,2
Ppp1r15b,9,12,4,21,12,3
Plekha6,7,12,11,13,9,2
Ren1,0,0,0,2,0,0
Etnk2,2,1,0,6,2,1
Sox13,0,1,0,0,2,0
Snrpe,58,259,13,247,161,38
Zc3h11a,9,17,6,12,7,2
