"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Rpl21",-0.147296706770645,10.984975921571,-0.892779945452868,0.396793021982694,0.807074152086743,-5.3074081992677
"Klhl28",0.166232215891348,2.54901643463115,0.892633473743165,0.396867123680195,0.807079716184018,-5.05673994520287
"Vps26b",0.14883666981282,3.91609756021678,0.89224303725389,0.397064698304845,0.807186851898343,-5.34251482607122
"Golga2",0.139144140302394,3.91027051604352,0.892109089637448,0.397132496730706,0.807186851898343,-5.3414853092401
"Gm26910",0.469231741310407,1.05325333393788,0.892106252971103,0.397133932616711,0.807186851898343,-4.79779599673803
"Ifitm1",0.910307742385388,0.267521973145178,0.891854153995036,0.397261556885243,0.80730115845736,-4.72246625422763
"Armcx6",-0.362758972285373,2.13607792300944,-0.891185120143954,0.39760039527744,0.807844568845234,-4.98228403515379
"Zfp729a",0.271120867524858,2.98122111539519,0.890909591259299,0.397739999497663,0.807983052688893,-5.1472805864284
"Tdp1",-0.129409771402012,3.64386875836555,-0.890269105925056,0.398064654253035,0.808010373878555,-5.29689191690262
"Ralgds",0.199743782077239,3.10572437654632,0.890232555894636,0.398083186760073,0.808010373878555,-5.17612395740962
"Bbs7",-0.209035938588738,2.62691867750623,-0.890177336519517,0.39811118663288,0.808010373878555,-5.08260656261629
"Ppp1r2",-0.107175433737928,6.63236002262958,-0.889909003087085,0.398247269454814,0.808010373878555,-5.57873530958873
"Fam109a",0.140523726193051,4.00141218369188,0.889740724474653,0.398332627355121,0.808010373878555,-5.3602045540243
"Thoc3",0.108206020213773,4.2146328265807,0.889718923324503,0.398343686760164,0.808010373878555,-5.40102445145947
"Zdhhc14",0.161320180543937,4.31141044917753,0.889703733700326,0.39835139236432,0.808010373878555,-5.41641959191596
"Fam120b",-0.108669721631975,3.94241993908502,-0.889622752565808,0.398392475399706,0.808010373878555,-5.35603818345129
"Rassf8",-0.196494137153476,3.01066824985428,-0.889614850049327,0.398396484635849,0.808010373878555,-5.16652736178514
"Lrsam1",-0.187158280416373,2.89906654864821,-0.889286525067372,0.398563081404773,0.808142806474287,-5.14187011386025
"Evl",0.134548534552037,7.16307502515273,0.889035952431883,0.398690259002504,0.808142806474287,-5.55415747726508
"Znhit6",-0.124382437350776,3.83206833349676,-0.888987982069646,0.398714609560865,0.808142806474287,-5.33599305702842
"Phf13",0.15097415849446,3.84062166509365,0.888922950717646,0.398747622258955,0.808142806474287,-5.33051319724312
"Myo18a",-0.120887736021352,4.91841950760262,-0.888724296862378,0.398848479548359,0.808202375060454,-5.51284277798948
"Fgfr3",0.557041298857048,0.686492676582103,0.888418694224465,0.399003670689402,0.808254864645696,-4.76237345930281
"2810414N06Rik",0.375539833653165,0.159107627571722,0.888391813523439,0.399017323310365,0.808254864645696,-4.71973701386638
"Pop4",-0.114098958282516,3.80213734993364,-0.887857153046335,0.399288944920853,0.808660221724557,-5.33047819176658
"Hebp1",0.282049242475923,6.30786962518284,0.887555809881927,0.399442093325913,0.80882553866119,-5.5824887893597
"Gm16286",0.102731021737601,6.71426763928587,0.887400805953174,0.399520885634201,0.808840260586677,-5.57651820214574
"Elp2",0.109164595755834,4.27502976849348,0.887133731603944,0.399656672106657,0.808891651849822,-5.41359371201597
"Kdm4c",-0.149267793113644,3.5078050152666,-0.886969166702714,0.399740356913535,0.808891651849822,-5.27268639294775
"Sft2d1",-0.0912336678784901,8.88151381299989,-0.886928872924549,0.399760849074954,0.808891651849822,-5.43387674107701
"Relb",0.0839189508924848,5.56710100094141,0.886650178996484,0.399902604647466,0.808897189732212,-5.56914858409693
"Evi2a",0.103005922901507,8.38230055702355,0.886591336559214,0.399932538994408,0.808897189732212,-5.46843336781124
"Pigx",-0.112690793419901,5.76410389879577,-0.886501651858876,0.399978166503009,0.808897189732212,-5.58143447564078
"Gnpda1",-0.171335725531184,5.10477719281335,-0.885987306355072,0.400239913864924,0.809281814035121,-5.53722984353099
"Zfp746",0.129360138108516,4.30644521325464,0.885759409793536,0.400355928101381,0.809371682320078,-5.41965120299324
"Tcp1",0.125936414444597,6.52679960809839,0.885586434572537,0.400443999788999,0.809395168725109,-5.58295679731691
"Lias",0.139807070106762,4.36255228369292,0.88535564936526,0.40056152738607,0.809395168725109,-5.42947098150803
"Frs3",0.412289486405983,1.80136143221957,0.88502003979499,0.400732480758453,0.809395168725109,-4.91045420786715
