"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gnl3",0.835011948572821,5.51586757490822,2.20534563357014,0.0541579733724407,0.553089295669712,-3.78838812237414
"Rpl7",0.932504878800473,9.9827295712318,2.20371414782211,0.0543035756085527,0.553089295669712,-3.95382288280026
"Atp6v1d",-0.596508191631432,7.44014722701178,-2.2005007508784,0.0545914697225828,0.553089295669712,-3.98925433397843
"Dusp3",-1.0617485598806,4.99588764047463,-2.1996640175736,0.054666677336622,0.553089295669712,-3.77432394957505
"Gm26532",1.82633588392963,4.87291110463075,2.19842204041984,0.0547784949581368,0.553089295669712,-3.76382126090481
"Ep400",-0.729158863754678,6.41457227483277,-2.1983935499384,0.0547810626180212,0.553089295669712,-3.92091699916047
"Tmem151a",-0.985246787211037,6.23876187981105,-2.19809450208253,0.0548080208946465,0.553089295669712,-3.9010558326387
"Prkcz",-0.791211756941678,5.90135070786531,-2.19736503676944,0.0548738341204296,0.553089295669712,-3.86813642950855
"Znhit3",-0.735273744012813,5.75000075634884,-2.19670580023473,0.0549333772814867,0.553089295669712,-3.85273281508335
"Kctd12",1.37697106387327,7.55574338608006,2.19655538085243,0.0549469721638654,0.553089295669712,-3.97705461504464
"Dock9",-1.05867508085609,5.42260462982942,-2.19576314641022,0.0550186281697159,0.553089295669712,-3.81369147213948
"Dzip3",-0.556059230061772,6.89908521897091,-2.19408725640992,0.0551705083376533,0.553089295669712,-3.97104392088527
"Ttll7",-0.964632546377702,5.98806914598407,-2.19311643183861,0.0552586770795795,0.553089295669712,-3.87232495138864
"Pard3",1.15084304855834,5.17353091870978,2.19248427368162,0.0553161622408639,0.553089295669712,-3.78807193758414
"Ptrh2",0.864707491799289,5.05188392356037,2.19218257857726,0.0553436172899184,0.553089295669712,-3.77279916668357
"Edil3",-0.812863273990837,7.44438857962579,-2.19115630951473,0.0554371095997394,0.553089295669712,-4.00219575050596
"Rpl19",0.818419382472483,10.4302162712097,2.19067633654515,0.0554808873901571,0.553089295669712,-3.95529454474217
"Jund",0.80363586020378,10.0778783280278,2.1897874830094,0.055562047385518,0.553089295669712,-3.96986972561053
"Zmym5",0.745299933157394,5.8866547442276,2.18898780228258,0.0556351636465509,0.553089295669712,-3.85091163326349
"Uri1",0.739321991522219,5.62108945470446,2.18798686581338,0.0557268127467339,0.553089295669712,-3.82447725401986
"Kbtbd11",-1.29760235508729,4.97254944250124,-2.18672874110404,0.0558422187982533,0.553089295669712,-3.77514682538655
"Arl4c",0.972698677513914,7.12951423667097,2.1853281676725,0.0559709643836508,0.553089295669712,-3.97564557833113
"Ogfr",0.777661508861218,5.7075543198672,2.18488386314216,0.0560118665674731,0.553089295669712,-3.84144894783905
"Apbb1",-0.675079678169953,6.81367512932127,-2.18448044989982,0.0560490294730567,0.553089295669712,-3.97642036556682
"Fto",-0.600343869855367,6.76375368784969,-2.18254824776302,0.0562273582715843,0.553956995961847,-3.97622718751598
"Atp8a1",-0.581243644955263,7.15683955931464,-2.18112397024047,0.0563591615507338,0.554216217136929,-4.00522512344045
"Cask",-0.640559036177272,5.97296798738663,-2.18031077355465,0.0564345495256926,0.554216217136929,-3.8996363443573
"Lpin2",-0.811869286274229,6.08847746226868,-2.17544966410351,0.0568872464442958,0.555995890878297,-3.9183535632358
"M6pr",0.750854718889365,6.11460845699631,2.17537274067026,0.0568944382660566,0.555995890878297,-3.90309234159967
"Zmiz1",0.537422886598924,7.78074325573968,2.17475408761785,0.0569523102176018,0.555995890878297,-4.028639969546
"Wscd1",1.47366381631517,5.54939897661581,2.17214516946536,0.0571969901716855,0.555995890878297,-3.83557476486626
"Srebf2",-0.695456620648703,5.81110542387298,-2.16997265609142,0.0574015188127664,0.555995890878297,-3.89598996376821
"Syn2",-1.02457025400871,8.12249691600167,-2.16919613163856,0.0574747955922114,0.555995890878297,-4.04951671591913
"Clu",-0.911700868036987,5.79770470074681,-2.16802980781359,0.0575850261746007,0.555995890878297,-3.89667682514114
"Rps18",0.850696184134292,10.1080504150917,2.16782172840293,0.057604713517792,0.555995890878297,-4.0001859736075
"Ranbp9",-0.775620340016219,6.22322677061573,-2.16737371190424,0.0576471245457146,0.555995890878297,-3.94479262877543
"Npc2",1.20597069968644,7.39122002790264,2.1669976945884,0.0576827431950958,0.555995890878297,-4.00965331242216
"Ndufb2",-0.514821169117682,7.71547805763931,-2.16634690797697,0.0577444400602008,0.555995890878297,-4.04770790398375
"Rpl11",0.825578457269029,10.4170492885206,2.166297621061,0.0577491152371279,0.555995890878297,-3.99051700682017
"Cebpg",0.609951963260036,6.99132241694516,2.16438869662019,0.0579304712513202,0.555995890878297,-4.0127605749066
"Ywhab",-0.626983722464031,8.6392773810965,-2.16427362159312,0.0579414214866664,0.555995890878297,-4.05295000018694
"Camkk1",-1.11470667030437,5.32373685536564,-2.16320790343907,0.0580429277157353,0.555995890878297,-3.83954823014977
"Pop5",-0.908863059766188,6.75951927747778,-2.16271847789462,0.058089601617672,0.555995890878297,-4.00115301104842
"Fnbp4",0.75087050995586,5.77063276478466,2.15994484085187,0.0583547960172862,0.555995890878297,-3.88669972067611
"Ppp2r1a",-0.519445196608393,7.69682880016547,-2.15969758848454,0.0583784932651288,0.555995890878297,-4.05678709983003
"Fam212b",-0.968560734241715,5.07157581551341,-2.15924232141634,0.0584221515053033,0.555995890878297,-3.83036612004333
"Gaa",-0.761850020989838,7.6700331029139,-2.15908914214012,0.0584368478739687,0.555995890878297,-4.05734565743827
"Pja1",-0.518488689476856,7.03511588854189,-2.15691000649028,0.0586463071220895,0.555995890878297,-4.03373468602357
"Rpl23",0.753542835833065,10.6270159366513,2.15628312097426,0.0587066980505021,0.555995890878297,-3.99716898636619
"Wars",-0.998156823087427,5.1133736345745,-2.15533080514148,0.0587985544456467,0.555995890878297,-3.83644366735914
"Syngr3",-0.872856926249241,6.40826552319869,-2.15526691444043,0.0588047220515454,0.555995890878297,-3.97962541540968
"Cd2ap",0.866765430045561,5.52739809956257,2.15444593916103,0.0588840295659293,0.555995890878297,-3.86951499810659
"Apex1",0.852893295192714,6.52724127465281,2.15273702186078,0.0590494457770553,0.556267311486569,-3.968561664318
"E4f1",-0.860106814180186,5.31461920668395,-2.15227417920036,0.0590943243762657,0.556267311486569,-3.86462359647177
"Tgfb1",2.49026718514209,4.50330276000649,2.14881506144572,0.0594307770916082,0.558576383462231,-3.85238218570773
"Glul",1.0810760934332,7.59796702485084,2.14477076814647,0.0598264966865921,0.560681870132324,-4.05833271676282
"Fkbp1a",-0.649130703696016,8.52777877023834,-2.14465578596422,0.0598377844429733,0.560681870132324,-4.08340329178177
"Dync1h1",-0.522009196250838,7.62650193190412,-2.14346427460544,0.0599548759261495,0.560921343015945,-4.07838076456198
"Rpl15",0.918103179663852,9.84515541502935,2.14139297459151,0.0601589528132843,0.561714567019231,-4.04884419500238
"Fam177a",0.732433680518215,5.66250690286824,2.14065418719673,0.0602319048770816,0.561714567019231,-3.892466263864
"Pik3r2",-0.70626336022169,5.80573379975945,-2.13930619234271,0.0603652338959633,0.561714567019231,-3.93713318818054
"Atf3",1.549915146256,8.0810736838927,2.13889142803271,0.0604063152195942,0.561714567019231,-4.07194215101056
"Brd1",0.647725217532167,6.57573028751142,2.13111315429226,0.0611817536650198,0.568063312817032,-4.0229335758582
"Mkl2",-1.05899212639646,6.13026299837827,-2.12914635024652,0.0613793473365161,0.568210030311,-3.98472454947345
"Eif5a",0.653140963254831,8.46597723234607,2.12655402133008,0.0616407250740148,0.568210030311,-4.10596163786381
"Tpp1",-0.884952796045899,5.74103557209657,-2.12637988715647,0.0616583210133081,0.568210030311,-3.94655529133005
"Slc25a39",0.758887863045089,6.11428386199387,2.12524171360025,0.0617734507913619,0.568210030311,-3.96894575092914
"Vasp",1.02909841242307,4.95998888188862,2.12387117726425,0.0619123600440037,0.568210030311,-3.8426695858735
"Rnaseh2a",1.09637774409468,4.9310246292381,2.1235414218515,0.0619458270001884,0.568210030311,-3.83994003051928
"Gltscr1l",-1.65357049170607,4.72527638244167,-2.12342728361545,0.0619574149823054,0.568210030311,-3.84093613056027
"Ccdc90b",0.841211770153039,5.47347395803403,2.12287309910643,0.062013708769603,0.568210030311,-3.89960038306574
"Rps8",0.701785766697709,11.0896460576367,2.1226911500473,0.0620322018205514,0.568210030311,-4.03002598934992
"Pcsk1n",-0.603152726930266,9.06736196520224,-2.1217809697752,0.0621247911730369,0.568210030311,-4.10483256240209
"Npm1",0.917947113486157,8.98408048376927,2.11706360839223,0.0626068106902696,0.569278376810651,-4.11306927932514
"Tmbim4",0.893116715909832,5.63414512618689,2.1163324286315,0.062681844582267,0.569278376810651,-3.90741298898431
"Zfp212",1.08853562171663,4.82485263079464,2.11627319738214,0.0626879267053789,0.569278376810651,-3.85138796846968
"Cbarp",-0.947474745544278,6.73195383454408,-2.11328294344854,0.0629957193329123,0.569278376810651,-4.06853905116665
"Ppm1d",0.754187118214769,5.30829916012732,2.11189602688238,0.0631389712299012,0.569278376810651,-3.89770995157706
"Serf2",0.696153746700634,8.7884630532495,2.11185598765088,0.0631431114615933,0.569278376810651,-4.12592238325019
"Tssc4",0.70526095622863,6.26602470488658,2.11165825242159,0.0631635619852418,0.569278376810651,-4.01029655064355
"Fads1",0.683086477363737,5.65065338566394,2.11080041443627,0.0632523567432887,0.569278376810651,-3.93068813173636
"Ctsl",1.21318551518551,7.7248835555512,2.11010167255878,0.0633247723300908,0.569278376810651,-4.1090112323902
"Srgap3",-0.907536239066643,6.82465011676157,-2.1099223559059,0.0633433690629644,0.569278376810651,-4.07228631791349
"App",-0.60854064981548,9.49103842053962,-2.10913120105876,0.0634254816889471,0.569278376810651,-4.10743522482017
"Rrbp1",0.954240740292318,6.66961894951795,2.10909332699375,0.063429415144722,0.569278376810651,-4.04981502781224
"Srsf2",0.711511204962891,8.48555402009144,2.10816170515777,0.0635262438348588,0.569278376810651,-4.13200306088693
"Snapin",0.676942038667927,5.85832893029631,2.10800861766202,0.0635421686910061,0.569278376810651,-3.962401313051
"Gabarap",0.638004181337522,8.58924947485551,2.10235501192511,0.0641329821920218,0.572123296499981,-4.14104960938839
"Tkt",0.558200433475292,7.15797419486015,2.10166182580555,0.0642057844895749,0.572123296499981,-4.11140100277545
"Pnrc1",0.904892549727057,7.79453973426111,2.10154350908714,0.0642182187197662,0.572123296499981,-4.12833256225173
"Gpat4",-0.790415924918035,5.21409311435494,-2.10041388653799,0.0643370506133965,0.572123296499981,-3.92047463059283
"Cmtm6",1.77569342749699,4.7436686081384,2.09987931938566,0.0643933587323706,0.572123296499981,-3.8747132237976
"Mcm6",0.871834426339929,6.50226540669973,2.09891196724349,0.0644953744144512,0.572123296499981,-4.03874983060832
"Ergic3",0.766476756019727,7.02757776632303,2.09874261272336,0.0645132503070311,0.572123296499981,-4.10204064140509
"Rps23",0.804481351772356,10.5658568278324,2.0961056013525,0.0647922107093054,0.573661268305477,-4.08446978195938
"Ftl1",1.44555397613277,10.4436197284737,2.09533546045696,0.0648738999568694,0.573661268305477,-4.09121677854264
"Synrg",0.594817675989645,6.33347469721365,2.09134383414804,0.0652988833772647,0.574135158916776,-4.04965214377057
"Mical2",-0.823363494720902,6.87216271961713,-2.09004510209926,0.0654377339583746,0.574135158916776,-4.11318618604931
"Sec61b",0.808577375478946,7.14959967844127,2.08926209435084,0.065521584298708,0.574135158916776,-4.12055549725034
"Cpne6",-1.32284396644795,5.94657267754867,-2.08894459797336,0.065555613610452,0.574135158916776,-4.01174333570989
"Rogdi",-0.814615638823592,6.2589207541473,-2.0875160340509,0.0657089375841623,0.574135158916776,-4.05795989298138
"Rpl22",1.0502061454203,9.11125960475321,2.08670234429932,0.0657964227293121,0.574135158916776,-4.15299650846015
