,0,1,2,3,4,5
Orc2,139,78,149,162,214,147
Gm15834,3,1,4,8,3,7
Fam126b,168,92,161,231,232,188
Ndufb3,1101,912,1280,1031,1424,1267
Als2cr12,0,1,0,2,1,0
Cflar,1596,1122,1742,1852,2122,1863
Casp8,1128,767,1398,1367,1566,1581
Trak2,85,68,91,103,151,101
Stradb,120,120,162,201,180,194
Tmem237,137,78,166,134,165,162
G730003C15Rik,3,5,5,1,2,5
Mpp4,0,0,1,0,0,0
Als2,55,29,63,76,91,56
Fzd7,59,51,64,168,177,51
Gm973,2,1,0,2,5,1
Sumo1,1082,915,1210,1358,1484,1360
Nop58,419,402,425,745,774,650
Bmpr2,472,363,554,550,714,465
Fam117b,403,285,464,619,695,407
Ica1l,8,2,8,10,13,3
Wdr12,156,124,200,254,259,282
Carf,34,40,51,38,73,52
Nbeal1,364,275,374,394,476,374
Cyp20a1,224,156,218,301,374,384
Abi2,104,84,115,172,190,114
Raph1,42,51,57,77,85,81
Cd28,0,0,1,0,1,1
Ctla4,0,1,0,0,1,0
Icos,13,5,6,15,19,10
Pard3b,79,42,81,91,120,68
Pard3bos1,3,1,0,3,7,0
Pard3bos3,1,0,0,0,1,0
Nrp2,201,185,276,284,372,273
Gm29083,0,0,1,0,0,1
Ino80d,301,222,370,381,539,327
Ino80dos,15,5,19,15,25,6
Gm20342,99,43,100,169,148,108
Ndufs1,259,172,281,343,396,297
Eef1b2,5743,5494,7585,9186,7639,7079
Zdbf2,0,2,0,1,3,2
Adam23,4,2,4,9,12,2
Mdh1b,0,1,0,0,1,0
Fastkd2,92,67,116,135,182,151
Klf7,785,559,847,949,1000,840
Gm26649,11,10,12,7,19,1
Gm28981,2,0,0,0,0,0
Creb1,529,376,626,637,671,619
Mettl21a,126,77,162,148,195,216
Ccnyl1,63,51,68,82,110,64
Fzd5,75,34,61,99,101,49
Plekhm3,177,95,175,263,300,172
D630023F18Rik,0,0,2,1,3,2
Idh1,186,136,207,222,304,320
Pikfyve,145,88,143,164,191,178
Map2,10,15,18,25,41,13
Unc80,2,2,1,5,9,4
Rpe,113,94,160,153,217,165
Kansl1l,465,258,579,716,681,571
Acadl,340,257,435,444,546,468
Myl1,0,0,0,1,0,0
Lancl1,105,87,143,146,212,177
Erbb4,5,1,2,2,9,1
Gm28497,1,0,1,0,0,0
Ikzf2,115,134,159,180,175,186
Spag16,1,1,3,1,2,0
Bard1,5,5,2,7,12,10
Atic,193,133,202,262,278,246
Fn1,1,6,5,5,22,15
Apol7d,0,0,0,0,0,1
Gm28818,0,0,0,1,0,0
Mreg,0,1,0,0,1,0
D230017M19Rik,26,15,40,31,39,27
Pecr,302,191,414,451,550,482
Tmem169,1,0,3,1,0,3
Xrcc5,141,72,156,191,214,151
March4,0,1,0,0,1,1
Smarcal1,90,71,113,127,150,136
Rpl37a,18003,14561,23402,16096,26208,23489
Igfbp2,15,9,16,6,17,3
Igfbp5,1,3,3,4,9,4
6030407O03Rik,0,0,0,0,2,0
Tns1,345,217,344,347,533,472
Rufy4,0,0,1,2,0,0
Cxcr2,7,21,2,3,34,4
Cxcr1,0,0,0,0,1,0
Arpc2,5707,4357,6689,7119,8867,8168
Gpbar1,0,1,0,0,0,0
Aamp,1161,820,1356,1468,1913,1524
Pnkd,366,238,401,438,551,463
Tmbim1,281,217,343,370,462,422
Catip,131,75,112,209,162,157
Slc11a1,1139,802,1451,1677,2113,1794
Ctdsp1,245,162,287,335,409,457
Vil1,0,0,1,1,0,0
Usp37,147,83,155,128,182,163
Rqcd1,68,50,63,116,134,94
Plcd4,4,1,3,4,13,3
Zfp142,54,30,63,74,106,54
Bcs1l,80,48,90,97,142,147
Rnf25,60,39,68,72,138,154
Stk36,4,2,6,7,5,6
Ttll4,70,38,71,65,136,54
Cyp27a1,146,126,166,220,233,269
Prkag3,0,0,0,0,1,0
Wnt6,1,0,0,0,3,0
Cdk5r2,5,1,3,3,3,2
Ccdc108,3,6,1,1,10,1
Ihh,0,0,0,0,0,1
Nhej1,32,23,33,44,51,51
Slc23a3,1,0,1,1,2,1
Cnppd1,359,248,440,433,527,784
Fam134a,362,259,500,470,552,815
Zfand2b,175,124,234,232,303,313
Abcb6,38,37,47,78,99,91
Atg9a,88,67,107,98,193,159
Ankzf1,82,70,106,136,181,163
Glb1l,24,12,20,38,48,39
Stk16,231,159,303,325,390,354
Tuba4a,152,110,155,186,246,278
Dnajb2,278,185,357,309,427,294
Ptprn,13,7,8,12,30,5
Resp18,0,2,0,2,5,3
Dnpep,277,222,332,434,513,565
Des,1,1,0,1,2,0
Speg,123,89,122,211,235,162
Gmppa,143,91,149,172,235,268
Asic4,3,1,1,2,2,2
Chpf,2,3,2,7,14,22
Obsl1,0,1,0,1,1,0
Tmem198,2,3,1,1,5,2
Inha,0,0,1,2,0,0
Stk11ip,125,83,100,158,166,148
Slc4a3,8,4,6,8,16,8
Gm17751,0,0,1,0,0,0
Epha4,1,3,2,7,12,3
Pax3,0,0,1,0,0,0
Sgpp2,0,0,1,0,3,1
Farsb,175,153,206,228,261,331
BC035947,0,0,0,1,0,0
Mogat1,1,0,1,3,0,2
Acsl3,33,31,51,45,98,43
Utp14b,28,17,36,45,41,19
Kcne4,0,0,0,0,2,0
Scg2,0,0,2,0,8,1
Ap1s3,3,6,4,3,6,10
Wdfy1,465,343,193,815,868,208
Mrpl44,61,48,71,120,142,144
Serpine2,2140,1389,2968,2691,2890,2452
Cul3,518,356,603,598,723,563
Dock10,1351,1030,1463,1707,2135,1738
Nyap2,0,1,1,0,1,1
Irs1,1,0,2,3,0,1
Rhbdd1,59,48,62,89,130,85
Gm28940,0,0,2,1,2,0
Col4a4,4,3,3,7,8,2
Mff,598,425,674,638,800,729
Agfg1,223,155,279,296,336,343
Slc19a3,0,0,1,0,2,0
Krtap28-13,1,0,0,0,0,0
Ccl20,0,0,0,0,1,0
Daw1,1,3,0,2,2,0
Sphkap,0,2,2,0,3,1
Pid1,546,368,623,546,603,995
Dner,8,2,4,7,20,8
Trip12,437,304,462,476,629,452
Fbxo36,29,17,19,35,42,30
Slc16a14,1,1,1,1,0,3
C130026I21Rik,39,54,21,21,37,28
A530032D15Rik,11,10,4,11,21,5
A530040E14Rik,11,2,1,13,20,4
G530012D18Rik,0,1,1,0,3,0
Sp110,400,297,435,528,785,757
Gm16094,1,0,0,0,2,0
Sp140,165,135,224,304,322,292
Gm17017,0,0,0,2,0,0
Sp100,114,95,105,182,186,546
A630001G21Rik,418,372,451,666,770,556
Cab39,560,381,649,722,939,757
Itm2c,3915,2772,4840,4852,5604,6642
4933407L21Rik,4,2,0,2,1,1
Gpr55,0,0,0,0,1,0
2810459M11Rik,2,3,1,1,3,2
Psmd1,533,321,519,623,792,910
Htr2b,0,0,0,2,1,0
Gm21972,0,0,1,1,1,0
Armc9,31,16,34,29,45,48
B3gnt7,16,6,8,24,34,4
Ncl,2038,1465,2332,3078,4011,2947
Ptma,17459,10708,19288,20228,23027,21632
Pde6d,215,169,314,252,349,315
Cops7b,43,25,56,56,80,59
Nppc,1,1,0,2,4,0
Dis3l2,74,64,108,116,185,129
Ecel1,0,1,0,1,5,0
Chrng,1,0,0,1,1,0
Eif4e2,825,588,1054,1133,1325,1170
Efhd1,10,10,16,18,55,7
Efhd1os,0,0,1,0,0,0
Gigyf2,324,198,372,420,511,395
Kcnj13,11,2,16,1,6,1
3110079O15Rik,0,0,1,0,0,1
Ngef,3,2,4,3,10,3
Inpp5d,3044,2078,3317,2836,4645,2911
Atg16l1,114,84,153,197,272,171
Sag,68,35,99,91,184,67
Dgkd,384,263,424,689,818,482
Gm19582,2,3,3,7,8,2
Usp40,141,108,141,165,287,166
Ugt1a7c,26,11,24,13,31,14
Ugt1a6b,0,0,0,0,2,0
Ugt1a6a,3,4,6,11,7,8
Ugt1a5,0,0,1,1,0,0
Ugt1a2,0,0,2,0,0,0
Dnajb3,2,2,0,8,2,5
Mroh2a,3,1,1,2,3,1
Hjurp,180,88,217,275,375,237
Gm29538,2,2,0,0,0,0
Glrp1,124,59,130,154,225,118
Gm19589,0,0,0,1,0,0
Gm29336,2,3,14,11,5,15
Arl4c,2565,1913,3197,2949,3611,3433
Sh3bp4,9,4,11,7,23,13
Agap1,53,52,63,87,117,104
Iqca,0,1,0,0,4,0
Ackr3,2,2,14,5,11,5
Cops8,433,302,460,527,671,523
Col6a3,145,74,140,112,136,100
Mlph,955,595,1029,822,1402,978
Prlh,4,3,5,4,8,5
Gm28199,1,0,1,0,1,0
Lrrfip1,541,496,684,810,885,919
Rbm44,1,3,1,3,2,2
Ramp1,364,188,435,527,498,171
Ube2f,952,639,999,1138,1450,1064
Gm26683,0,0,0,2,2,1
Scly,74,72,86,112,121,129
Ilkap,384,290,412,452,554,396
Hes6,161,100,201,284,344,246
Per2,19,19,26,80,90,8
Traf3ip1,26,11,32,25,52,29
Asb1,47,26,59,58,85,49
Twist2,0,0,0,1,0,0
Hdac4,71,63,67,115,162,103
Gm26720,5,8,3,5,10,2
Ndufa10,552,394,647,656,862,802
Myeov2,1178,829,1241,1021,1773,1582
Otos,0,0,0,0,0,1
Gpc1,7,3,1,5,13,8
Dusp28,22,30,37,51,52,40
5033417F24Rik,1,4,7,1,7,2
Rnpepl1,371,270,387,525,607,726
9430060I03Rik,20,18,37,36,42,32
Capn10,43,24,40,52,56,69
Gpr35,23,50,44,43,42,126
Kif1a,19,16,28,39,147,25
Gm28086,0,0,0,1,0,0
Crocc2,0,1,0,2,3,0
Sned1,4,9,8,6,16,7
Mterf4,88,58,101,157,130,144
Gm28535,1,0,1,4,6,0
Pask,2,2,4,3,6,5
Ppp1r7,296,249,382,389,500,408
Ano7,28,14,19,38,50,20
Hdlbp,945,667,1198,1334,1566,1461
Sept2,987,674,1036,947,1474,900
Farp2,25,16,32,30,25,23
Stk25,245,182,253,325,308,372
Gm28536,0,0,0,1,0,0
Bok,3,2,2,6,6,2
Thap4,90,71,101,94,130,159
Atg4b,149,96,211,198,240,244
Dtymk,218,181,289,338,311,318
Ing5,150,89,174,189,254,174
D2hgdh,74,44,87,68,95,89
Neu4,4,5,10,14,52,6
Pdcd1,36,25,96,105,76,107
Fam174a,663,604,785,879,972,984
St8sia4,51,46,74,94,112,62
Slco4c1,0,0,0,0,1,0
Gm28901,0,0,0,0,4,0
D1Ertd622e,539,370,583,840,923,825
Ppip5k2,168,97,166,183,232,133
Gin1,56,55,79,92,118,112
Pam,2,3,5,6,22,3
Gm7967,0,2,2,0,0,0
Gm28187,0,0,2,0,1,0
Cdh20,2,3,4,7,16,1
Rnf152,0,1,3,0,1,0
Pign,118,108,128,170,231,139
2310035C23Rik,155,140,215,209,299,190
Tnfrsf11a,320,325,366,445,645,420
Gm7160,19,14,22,24,25,26
Zcchc2,185,128,197,248,324,230
Phlpp1,75,54,109,78,187,85
Bcl2,67,59,81,149,176,115
D630008O14Rik,0,0,1,0,0,0
Kdsr,219,169,244,256,361,229
Vps4b,579,356,593,720,939,755
Serpinb5,0,0,0,0,0,1
Serpinb12,1,0,1,3,3,4
Serpinb8,0,0,0,0,0,1
Cdh7,0,0,1,0,2,0
Cdh19,5,5,7,4,16,2
Dsel,23,9,27,45,34,20
Cntnap5a,0,0,0,1,0,0
Tsn,840,639,1059,1027,1257,1268
Nifk,189,122,199,315,402,286
Clasp1,140,93,138,168,221,146
2900060B14Rik,143,115,132,156,228,122
Tfcp2l1,1,0,0,1,0,1
Gli2,0,0,1,0,2,0
Gm29455,0,0,0,1,1,1
Inhbb,0,1,1,0,5,0
Ralb,890,606,1029,1160,1237,1173
Gm27184,1,2,1,0,4,1
Tmem185b,227,174,276,350,428,489
Epb41l5,14,7,19,18,19,12
Ptpn4,65,46,56,66,78,42
Tmem177,34,21,40,55,68,68
Sctr,0,2,2,1,0,3
Tmem37,1190,882,1402,1233,1601,1750
Dbi,1089,1075,1346,1299,2219,1521
3110009E18Rik,84,66,100,76,132,108
Steap3,5,6,8,19,19,19
C1ql2,1,0,0,3,9,2
Marco,0,0,0,1,0,1
Celrr,0,1,4,1,6,0
Insig2,368,233,395,384,538,460
Ccdc93,345,187,385,375,541,406
Htr5b,2,1,1,2,3,1
Ddx18,586,367,650,546,969,694
Dpp10,1,2,1,1,7,0
Actr3,2045,1484,2378,2719,2853,3136
Slc35f5,171,125,211,218,247,248
Lypd1,1,0,4,2,8,2
Nckap5,3,0,1,1,2,1
Mgat5,329,236,400,360,438,349
Tmem163,3,1,3,6,10,4
Acmsd,0,1,0,0,0,0
2900009J06Rik,0,1,0,0,1,0
Ccnt2,339,305,390,536,640,587
Map3k19,0,1,2,1,3,2
Rab3gap1,305,245,385,336,499,310
Zranb3,7,8,15,14,14,14
R3hdm1,278,293,402,422,577,407
Ubxn4,770,562,942,883,1148,1097
Lct,0,0,0,0,0,1
Mcm6,60,46,61,105,169,115
Dars,274,213,330,329,401,428
Cxcr4,14,21,12,11,17,13
Thsd7b,0,2,0,0,0,0
Gm15675,0,0,1,0,0,0
Cd55,0,1,0,0,4,0
Pfkfb2,15,14,24,14,28,21
Yod1,108,66,123,139,167,113
AA986860,2,1,5,6,5,1
Il19,0,1,0,0,0,0
Il10,0,8,0,1,0,0
Mapkapk2,997,991,1275,1383,1386,1712
Dyrk3,2,2,2,3,2,3
Eif2d,88,69,104,116,136,122
Rassf5,557,362,603,701,960,746
Ikbke,6,7,3,8,11,5
Gm28914,0,0,0,1,0,0
Gm28913,0,0,0,0,1,0
Srgap2,2986,1780,3432,3035,4612,2290
Fam72a,112,65,140,100,158,100
Ctse,7,5,4,5,9,4
Rab7b,23,27,33,20,15,21
Pm20d1,1,0,2,1,2,0
Slc41a1,121,92,133,184,198,111
Rab29,77,51,90,97,148,140
Nucks1,616,458,781,897,1076,803
Slc45a3,0,0,4,0,2,2
Elk4,293,195,300,318,440,302
Mfsd4,98,63,147,115,190,33
Gm26892,1,1,0,2,0,1
Cdk18,12,7,15,23,38,9
Lemd1,0,0,0,0,1,0
Klhdc8a,1,0,1,0,7,2
Nuak2,800,582,802,1180,1108,1428
F730311O21Rik,1,0,0,0,0,0
Tmcc2,28,15,39,31,75,23
Dstyk,113,91,167,159,200,135
Rbbp5,85,48,80,91,152,96
Tmem81,10,7,5,10,26,11
Cntn2,27,13,28,43,143,13
Nfasc,20,20,48,55,117,6
Lrrn2,2,1,7,2,14,1
Mdm4,416,351,489,556,659,455
Pik3c2b,38,29,46,39,86,20
Ppp1r15b,388,293,443,542,662,535
Plekha6,3,2,3,2,4,1
Gm19461,0,0,0,0,1,0
Ren1,1,0,0,0,0,0
Etnk2,2,0,2,3,3,1
Sox13,7,4,6,9,11,6
Snrpe,998,835,1249,1032,1454,1379
Gm26706,0,0,1,1,0,0
Zc3h11a,172,126,218,203,288,192
Gm38394,24,10,21,26,23,11
Lax1,0,0,0,0,1,0
Atp2b4,0,1,0,2,5,3
Gm15851,1,0,0,0,0,0
Prelp,2,5,6,3,14,5
Fmod,0,0,1,0,0,0
Btg2,21132,13728,24735,28036,36421,32455
Chil1,24,12,28,30,35,43
Mybph,16,7,7,26,22,7
Adora1,11,18,10,19,32,16
Myog,0,0,0,0,1,0
Ppfia4,1669,1165,1923,2814,2605,2782
Tmem183a,219,144,277,334,407,303
4933406M09Rik,0,0,0,0,1,0
Cyb5r1,269,224,303,343,418,471
Adipor1,915,733,1177,975,1314,1640
Platr1,3,5,7,0,1,3
Klhl12,55,35,58,74,72,80
Rabif,95,62,106,120,147,151
Kdm5b,180,131,268,275,294,258
Syt2,0,0,1,2,2,0
Ppp1r12b,47,41,54,62,82,41
Gm28892,1,0,0,2,0,0
Ube2t,8,7,9,9,14,15
Lgr6,0,1,0,0,2,0
Ptpn7,4,0,1,2,4,1
Arl8a,735,542,798,891,1149,1456
Gm15445,19,15,23,19,21,13
Gpr37l1,51,32,48,53,149,42
Gm26642,1,2,1,2,0,1
Rnpep,671,630,876,1206,1101,2028
Timm17a,392,300,446,580,598,517
Lmod1,0,0,0,1,0,0
Shisa4,29,18,33,43,116,20
Ipo9,152,91,162,176,232,183
Nav1,258,186,290,293,477,308
Gm4793,2,1,4,2,2,0
Gm38399,6,2,4,7,2,9
Csrp1,94,77,123,185,350,84
Phlda3,14,5,25,20,63,13
Tnni1,5,6,4,22,24,0
Lad1,2,0,0,1,3,0
Tnnt2,0,0,1,1,1,1
Tmem9,100,48,75,108,163,155
Cacna1s,104,100,125,102,144,147
Gm37759,4,3,7,2,7,3
Kif21b,570,373,648,910,1061,476
Mroh3,1,0,1,1,1,0
5730559C18Rik,3,0,1,0,6,1
Gm26781,1,0,0,0,0,0
Camsap2,137,73,159,185,213,151
Ddx59,40,39,68,74,88,54
Platr23,0,1,1,1,0,0
Zfp281,209,208,248,397,512,395
Gm19705,1,2,3,4,11,4
A430106G13Rik,10,3,13,14,24,14
Ptprc,1772,1393,2155,2408,2982,2917
Nek7,1059,697,1225,1460,1683,1256
Lhx9,1,0,0,0,1,0
2310009B15Rik,86,78,107,123,159,126
Dennd1b,186,171,193,235,325,211
Crb1,0,0,1,0,0,0
Zbtb41,62,57,82,92,131,77
Aspm,0,0,1,0,0,0
Gm4788,0,0,0,1,1,0
Cfhr2,2,3,1,3,3,3
Cfh,2779,2032,3128,3494,4202,3044
Kcnt2,1,0,1,1,4,0
Cdc73,231,191,278,269,359,284
B3galt2,3,1,8,7,13,4
Glrx2,282,221,333,335,434,375
Trove2,128,99,140,181,247,173
Uchl5,263,205,277,298,353,360
Rgs2,4228,2308,4901,5045,7119,4740
Rgs1,1392,1325,1090,1504,1920,954
Rgs18,0,0,1,0,0,0
Gm29514,0,0,1,2,1,0
Brinp3,3,0,0,4,3,1
Pla2g4a,304,327,350,737,730,673
Ptgs2,168,357,205,158,141,112
Ptgs2os2,3,3,1,4,0,0
BC003331,363,249,390,471,492,391
Tpr,901,758,1107,1353,1589,1342
Prg4,3,0,1,0,2,1
Hmcn1,0,0,0,0,3,0
Gm10138,366,231,474,302,542,496
Ivns1abp,3049,1923,3214,3312,4777,2586
Swt1,386,278,474,567,721,608
Trmt1l,274,142,299,342,413,468
Rnf2,646,463,735,768,811,729
Fam129a,152,132,197,237,349,360
2810414N06Rik,6,9,7,16,13,14
Edem3,64,53,61,86,107,57
1700025G04Rik,47,28,38,41,57,63
Tsen15,153,101,136,205,215,159
Rgl1,279,181,338,391,468,361
Arpc5,1654,1223,1983,2355,2494,2664
Ncf2,1849,1368,2287,2229,2913,3210
Smg7,162,112,197,177,290,158
Nmnat2,5,1,4,0,5,0
Lamc1,29,13,24,34,54,25
Shcbp1l,4,2,1,4,4,3
