,0,1,2,3,4,5
Gm29083,1,3,5,2,3,1
Ino80d,25,93,58,30,43,18
Ino80dos,1,13,10,4,7,1
Gm20342,6,57,8,18,30,14
Ndufs1,148,283,289,66,53,54
Eef1b2,752,2090,1417,452,500,479
Zdbf2,10,34,16,7,12,2
Adam23,0,1,2,1,5,0
Dytn,1,9,3,2,6,3
Mdh1b,29,115,51,44,58,19
Fastkd2,16,40,32,12,6,3
4933402D24Rik,0,1,0,0,2,0
Klf7,16,155,56,29,45,44
Gm26649,0,1,0,0,0,0
Gm28981,1,0,0,0,0,0
Creb1,47,131,87,33,27,17
Mettl21a,17,61,68,16,25,19
Ccnyl1,6,17,18,4,7,5
Fzd5,0,4,6,2,2,2
Plekhm3,14,32,21,20,22,14
D630023F18Rik,0,3,0,0,1,0
Idh1,119,207,266,39,52,91
Pikfyve,35,71,82,16,27,25
Map2,23,186,104,64,105,40
Gm10558,0,1,1,1,0,0
Unc80,10,56,26,17,41,13
Rpe,62,139,113,23,23,24
Kansl1l,15,97,56,25,33,22
Acadl,198,510,478,78,107,189
Myl1,0,1,2,0,1,0
Lancl1,41,84,91,40,60,34
Erbb4,14,18,37,7,8,1
Gm28497,3,0,1,1,3,1
Gm29114,0,0,0,2,0,0
Ikzf2,9,64,35,30,30,19
Spag16,66,238,121,72,119,46
Vwc2l,0,1,1,0,1,0
Bard1,2,5,4,3,3,0
Abca12,0,0,0,0,1,0
Atic,29,115,80,39,48,36
Fn1,58,474,70,165,242,58
Apol7d,0,0,0,0,1,0
Mreg,1,5,2,0,1,1
D230017M19Rik,6,23,13,6,11,5
Pecr,21,51,42,18,13,21
Xrcc5,42,111,117,28,34,37
March4,12,84,24,23,23,17
Smarcal1,11,42,26,11,10,13
Rpl37a,2875,6462,5022,962,2043,2091
Igfbp2,3647,3710,7156,334,380,623
Igfbp5,37,215,142,163,168,127
6030407O03Rik,0,2,2,0,0,1
Gm29183,0,0,1,0,0,1
Tns1,54,63,149,8,13,24
Rufy4,0,10,0,3,0,1
Cxcr2,22,384,21,4,67,117
Cxcr1,0,36,5,0,12,1
Arpc2,456,2293,811,333,495,585
Aamp,247,465,562,106,164,183
Pnkd,138,314,319,60,57,105
Tmbim1,40,96,85,37,39,37
Catip,45,276,100,108,135,85
Slc11a1,26,125,21,32,36,59
Ctdsp1,65,138,117,22,40,54
Usp37,13,75,35,14,26,21
Rqcd1,10,33,27,8,11,15
Plcd4,20,108,55,36,58,51
Zfp142,5,21,21,3,5,11
Bcs1l,24,41,30,5,10,22
Rnf25,14,35,28,7,12,17
Stk36,11,75,38,27,29,27
Ttll4,17,49,38,15,28,13
Cyp27a1,8,12,13,8,13,7
Wnt6,0,2,3,3,3,0
Gm29539,0,0,0,1,0,0
Cdk5r2,1,1,0,1,1,1
Ccdc108,51,298,112,99,142,69
Nhej1,6,25,9,1,2,4
Slc23a3,0,1,0,0,0,0
Cnppd1,31,162,83,28,49,57
Fam134a,91,176,187,47,56,59
Zfand2b,23,124,64,17,17,28
Abcb6,8,37,15,9,15,7
Atg9a,7,75,24,12,14,14
Ankzf1,12,42,20,13,15,9
Glb1l,39,56,74,13,23,10
Stk16,136,311,246,47,55,106
Tuba4a,90,400,201,36,55,154
Dnajb2,115,363,291,117,157,147
Ptprn,4,2,3,1,2,4
Dnpep,44,117,82,26,45,43
Des,0,0,1,0,0,0
Speg,65,75,155,8,12,32
Gmppa,16,46,46,8,10,27
Asic4,0,0,1,0,0,0
Chpf,27,25,55,12,9,8
Obsl1,9,19,28,0,2,5
Tmem198,1,1,2,0,0,1
Inha,0,2,0,2,0,0
Stk11ip,9,45,10,3,12,12
Slc4a3,9,29,16,6,16,9
Gm816,0,1,0,0,0,0
Epha4,22,27,53,5,12,10
Pax3,1,0,0,0,0,0
Sgpp2,3,2,5,0,2,1
Gm28410,0,1,0,0,0,0
Farsb,77,130,134,24,23,57
Mogat1,6,4,17,1,1,4
5730419F03Rik,0,0,0,0,0,1
Acsl3,65,320,164,94,110,115
Utp14b,16,57,40,11,29,12
Kcne4,1,1,3,3,10,1
Scg2,0,1,0,0,0,0
Ap1s3,2,4,4,2,2,1
Wdfy1,47,192,26,39,65,26
Mrpl44,38,78,68,22,25,32
Serpine2,99,929,349,333,361,268
2310015K22Rik,1,0,1,0,0,0
Cul3,163,356,342,73,107,126
Dock10,34,80,45,35,40,15
Nyap2,1,6,13,0,0,0
