,0,1,2,3,4,5
Gm20342,37,25,46,54,49,51
Ndufs1,52,25,83,71,89,62
Eef1b2,148,105,200,251,178,167
Adam23,52,29,71,74,60,26
Fastkd2,9,3,15,13,11,8
Klf7,86,64,135,218,160,120
Gm26649,1,3,3,3,1,0
Creb1,50,49,69,55,44,45
Mettl21a,8,9,21,12,15,21
Ccnyl1,10,3,2,25,12,4
Fzd5,1,1,3,4,2,2
Plekhm3,14,8,28,33,25,18
D630023F18Rik,2,0,1,1,2,1
Idh1,50,42,83,80,105,72
Pikfyve,20,30,35,49,38,23
Map2,211,136,341,264,318,197
Gm10558,1,0,2,2,0,0
Unc80,56,41,107,67,108,74
Rpe,34,21,57,39,36,41
Kansl1l,28,18,46,37,40,28
Acadl,52,30,58,62,62,65
Lancl1,43,20,42,51,48,44
Erbb4,71,56,115,99,102,59
Ikzf2,50,42,75,54,65,63
Bard1,2,1,2,3,1,1
Atic,32,21,37,37,54,40
Fn1,5,1,8,3,4,4
Mreg,0,0,2,1,1,0
D230017M19Rik,10,5,6,5,10,6
Pecr,8,1,10,9,16,7
Tmem169,10,7,12,8,11,14
Xrcc5,23,17,31,30,28,22
March4,0,0,2,0,0,0
Smarcal1,13,8,17,4,16,17
Rpl37a,540,356,706,452,792,571
Igfbp2,30,19,48,9,23,27
Igfbp5,22,16,25,3,13,9
6030407O03Rik,13,7,21,15,26,12
Tns1,8,7,20,20,18,14
Rufy4,0,0,0,0,1,0
Arpc2,132,76,172,193,184,180
Aamp,89,56,132,117,136,105
Pnkd,105,65,120,122,124,99
Tmbim1,42,18,56,152,89,34
Catip,0,0,0,3,1,0
Slc11a1,3,5,3,7,3,3
Ctdsp1,27,17,40,27,46,27
Usp37,39,17,40,24,35,29
Rqcd1,21,6,21,15,22,13
Plcd4,3,9,6,2,3,2
Zfp142,28,17,29,33,29,15
Bcs1l,25,8,29,13,19,26
Rnf25,12,13,18,17,16,17
Stk36,2,2,2,1,5,0
Ttll4,6,6,13,8,17,8
Cyp27a1,4,3,9,35,18,5
Wnt10a,3,0,0,0,1,0
Cdk5r2,21,11,18,18,12,19
Ihh,0,0,0,1,0,0
Nhej1,1,2,2,4,6,4
Cnppd1,21,12,33,50,39,36
Fam134a,52,38,86,66,84,93
Zfand2b,18,14,20,30,10,27
Abcb6,5,2,2,11,12,3
Atg9a,60,35,81,46,67,59
Ankzf1,9,4,9,19,18,11
Glb1l,1,1,3,1,5,2
Stk16,28,22,45,61,54,45
Tuba4a,5,4,1,1,4,3
Dnajb2,43,15,50,137,70,41
Ptprn,128,90,159,64,86,179
Gm28294,0,1,0,0,0,0
Resp18,3,5,5,1,1,7
Dnpep,29,18,41,29,33,47
Des,3,0,1,1,1,1
Speg,12,6,19,10,16,6
Gmppa,7,13,16,22,20,22
Asic4,21,19,62,29,40,37
Chpf,33,23,49,30,51,37
Obsl1,11,7,17,10,27,21
Tmem198,15,9,24,11,17,8
Inha,5,8,10,4,10,1
Stk11ip,8,2,6,10,10,6
Slc4a3,34,18,46,31,36,26
Epha4,18,15,27,61,50,27
Sgpp2,0,1,0,0,1,0
Farsb,26,21,43,28,34,33
BC035947,1,0,1,0,2,0
Mogat1,1,0,4,1,3,1
Acsl3,78,72,136,164,130,108
Utp14b,22,11,45,64,53,17
Kcne4,4,0,0,9,3,0
Scg2,2,0,0,0,2,0
Wdfy1,42,45,26,79,97,10
Mrpl44,19,11,31,24,32,28
Serpine2,967,636,1562,820,1174,1195
Cul3,61,36,78,92,116,62
Dock10,92,64,105,205,114,75
Nyap2,9,6,2,2,1,4
Irs1,23,19,20,23,34,17
Rhbdd1,3,7,9,14,10,6
Gm28940,0,0,0,0,1,0
Col4a4,1,3,2,2,3,4
Col4a3,0,0,4,0,0,1
Mff,124,79,172,164,192,154
Agfg1,75,56,133,87,96,109
Krtap28-13,0,0,0,0,1,0
Sphkap,3,0,1,1,0,0
Pid1,213,113,314,192,257,273
Dner,188,104,245,143,190,183
Trip12,77,49,101,129,93,71
Fbxo36,5,1,3,13,7,4
Slc16a14,3,2,3,2,2,3
C130026I21Rik,0,1,0,1,0,0
A530032D15Rik,0,0,0,1,0,0
Sp110,0,1,2,5,3,0
Sp140,1,0,0,0,1,0
Sp100,0,0,0,0,0,1
A630001G21Rik,2,1,0,4,4,1
Cab39,81,56,118,113,136,69
Itm2c,262,167,422,275,276,472
4933407L21Rik,2,1,2,1,2,3
Gpr55,0,0,0,0,1,0
Spata3,0,0,1,1,1,0
2810459M11Rik,19,8,37,16,20,24
Psmd1,64,47,83,98,74,78
Armc9,5,9,19,9,11,13
B3gnt7,12,9,28,14,21,24
Gm28626,2,4,4,2,2,2
Ncl,144,84,248,242,255,202
Ptma,726,464,1112,1862,1205,982
Pde6d,63,31,71,155,74,69
Cops7b,19,11,22,25,16,14
Nppc,1,1,2,2,2,1
Dis3l2,14,5,25,28,20,29
Eif4e2,40,17,46,57,54,45
Efhd1,11,0,8,30,15,4
Gigyf2,49,36,76,80,84,54
Kcnj13,4,4,6,0,1,7
3110079O15Rik,0,2,2,1,0,0
Ngef,12,6,9,5,7,7
Inpp5d,3,3,6,17,19,6
Atg16l1,19,18,28,37,20,19
Sag,3,0,4,5,11,3
Dgkd,28,19,30,19,30,19
Usp40,48,25,63,55,71,59
Ugt1a7c,0,0,0,1,0,0
Dnajb3,2,1,7,1,0,7
Mroh2a,0,0,1,0,0,0
