"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Eid1",0.0192703711391409,6.99942124877793,0.0960493187317052,0.925342889622163,0.991016183662548,-5.57209850100277
"Slc30a1",-0.0176022832552615,7.35343746264431,-0.0955987010357232,0.925691973049513,0.991016183662548,-5.59903258880262
"Prosc",-0.0246047400186791,5.38683641732676,-0.0952158210373447,0.925988594568695,0.991016183662548,-5.34653201369958
"Nenf",0.0179443783819819,7.50075394902588,0.0951374154841124,0.926049337713646,0.991016183662548,-5.60818933760504
"Usp18",0.0356613710272128,4.80550529713146,0.0947880573399697,0.926320002032801,0.991016183662548,-5.1744612788984
"Zrsr2",0.0228547693207038,5.66726598365043,0.0947485162571208,0.926350637004674,0.991016183662548,-5.40149012917299
"Pcif1",-0.0187306901248743,5.80088536779583,-0.0946965542180428,0.926390895466537,0.991016183662548,-5.42418199484123
"Ldlr",-0.033011578124916,4.94761521905891,-0.0946662502388195,0.926414374083377,0.991016183662548,-5.2358399488788
"Pxk",-0.0215832557942089,5.809880730608,-0.0945874727922033,0.926475408838794,0.991016183662548,-5.42627614871926
"Trpv4",0.0499816995082872,4.11272106883566,0.0944979204881287,0.926544792284787,0.991016183662548,-4.97444297410182
"Zranb1",-0.0181087191328426,6.0920626898304,-0.0944468206334172,0.92658438378274,0.991016183662548,-5.46939813525174
"Pex5",0.0382428287825155,4.11132547116601,0.0943979935180026,0.926622214587917,0.991016183662548,-5.00528069853408
"Afap1",0.0312935683859848,4.5125413675594,0.0938048126631421,0.927081820972141,0.991016183662548,-5.11440846679926
"Tmed2",0.0176649101196767,7.58450766686662,0.0936113164220826,0.927231751153074,0.991016183662548,-5.61280691540157
"Gtf2h1",0.0320330424741748,4.41577051422558,0.0932597610920415,0.927504160727681,0.991016183662548,-5.10903495722457
"Ube2j2",0.0233134151048326,5.46508730070596,0.0931534611813678,0.927586531239088,0.991016183662548,-5.36524374930547
"D1Ertd622e",-0.0331615034772004,4.17135935860373,-0.0930703672388454,0.927650920350472,0.991016183662548,-5.02734694576316
"Cers5",-0.0265774678847236,5.70007298320512,-0.0929133497179063,0.927772593991741,0.991016183662548,-5.40809353518095
"Exosc3",-0.0216570260903514,5.1182318804228,-0.0928765870761934,0.927801081823239,0.991016183662548,-5.29033181294313
"Rap1gds1",0.0262370528106175,5.69195693915129,0.0927580441747998,0.927892942928875,0.991016183662548,-5.40545831556177
"Bet1l",-0.0224579942527614,5.31073648311607,-0.0926633526457367,0.927966321957408,0.991016183662548,-5.3352496618977
"Zdhhc20",0.0208220210131658,5.98564538845026,0.0926424212431711,0.927982542363087,0.991016183662548,-5.45032356853431
"Hspg2",-0.0285722596567751,6.41189686249381,-0.0924719399552448,0.928114654988023,0.991016183662548,-5.50661012503987
"Fam103a1",-0.0179387220134506,6.50549112697116,-0.0920748770268386,0.928422363449259,0.991016183662548,-5.52253281928683
"Usp33",-0.0323521663124075,4.5251126188715,-0.0912614013140295,0.929052814253691,0.991016183662548,-5.12814169420653
"Wsb1",0.0199877821147067,6.2459844962145,0.0912446327402206,0.929065810587064,0.991016183662548,-5.4909693327758
"Tes",0.0236986221254668,5.31707936795226,0.0912057613329377,0.929095937608024,0.991016183662548,-5.32823396287854
"Arfip1",-0.0281791839839692,4.76566830489931,-0.0908444285132616,0.929375991763945,0.991016183662548,-5.20044234439612
"Fam160b2",-0.0404704279437715,3.71976222498783,-0.0908197746498379,0.929395100324016,0.991016183662548,-4.91395355535326
"Gpd1l",0.0363221385188851,4.16383896182709,0.090779802662821,0.9294260816579,0.991016183662548,-4.98795850693718
"Suco",0.0294363330965548,4.42441051835567,0.090642153323547,0.929532771321513,0.991016183662548,-5.10026410473708
"Immt",-0.0184363393572375,6.14604391883484,-0.0906197972087572,0.929550099304085,0.991016183662548,-5.47414616215707
"Exosc9",0.0269797955095412,4.78406447049086,0.090521804611301,0.929626052759913,0.991016183662548,-5.1889928974565
"Zfyve16",0.0395461537927577,4.22612160460193,0.0903263287588481,0.929777567090673,0.991016183662548,-4.98904332148825
"Cmas",0.0378209722986346,5.11383019499061,0.090212036493207,0.929866156969243,0.991016183662548,-5.28833247305383
"Trim35",0.0294385507368091,4.88444463271903,0.0897159469840211,0.93025069598308,0.991016183662548,-5.2311220334647
"Maz",0.0270771138251495,5.4559313886611,0.0896631436226067,0.930291627108625,0.991016183662548,-5.35753960891876
"Tet2",0.0280987544964669,4.52568622683336,0.0892561190290529,0.930607143973985,0.991016183662548,-5.11902956214294
"Gpr171",-0.0691347384676505,4.15051727177591,-0.089082111812394,0.930742034532982,0.991016183662548,-5.0630036830278
"Ppp1r21",0.0280411296648671,4.65028148934996,0.0889420327023758,0.93085062565865,0.991016183662548,-5.15861433220815
"Oas1a",-0.0579926359102059,4.03387939201869,-0.0887214539074891,0.931021624182509,0.991016183662548,-4.92392810157697
