,0,1,2,3,4,5
Abcb6,0,0,0,3,3,2
Atg9a,1,5,1,4,4,5
Ankzf1,2,0,5,2,3,2
Glb1l,0,0,1,2,2,2
Stk16,5,7,13,10,5,4
Tuba4a,5,9,13,10,9,14
Dnajb2,2,5,11,11,7,14
Ptprn,0,1,0,1,1,0
Dnpep,1,14,14,6,7,4
Speg,2,3,3,4,2,1
Gmppa,1,4,6,4,9,6
Asic4,0,0,0,0,1,0
Chpf,0,0,1,0,0,0
Stk11ip,0,1,2,2,2,4
Slc4a3,0,0,1,0,0,0
Gm816,0,0,0,1,0,0
Farsb,3,9,10,10,3,8
Acsl3,4,4,11,7,9,5
Utp14b,1,4,13,4,9,3
Scg2,0,0,0,0,1,0
Wdfy1,3,7,4,15,11,3
Mrpl44,1,4,5,2,3,2
Serpine2,0,3,4,8,15,0
Cul3,8,15,24,13,12,10
Dock10,5,16,26,24,16,23
Rhbdd1,3,1,3,1,2,0
Mff,8,17,12,16,16,8
Agfg1,5,22,21,11,15,20
Pid1,41,89,116,61,30,100
Dner,0,0,0,1,0,1
Trip12,7,7,28,9,16,12
Fbxo36,0,1,2,1,0,0
Slc16a14,0,1,0,0,0,0
C130026I21Rik,1,2,8,1,6,2
A530032D15Rik,0,0,1,2,3,1
A530040E14Rik,1,1,2,0,1,1
Sp110,5,18,24,19,20,15
Gm16094,0,0,1,0,0,0
Sp140,5,9,17,10,7,10
Sp100,5,18,36,14,15,33
A630001G21Rik,2,7,18,8,8,8
Cab39,8,24,20,27,16,20
Itm2c,42,75,108,78,82,89
Psmd1,4,9,14,19,14,13
Armc9,1,1,1,0,0,0
B3gnt7,0,0,0,0,0,1
Gm28626,0,1,0,0,0,0
Ncl,17,54,81,71,80,37
Ptma,151,520,712,522,418,422
Pde6d,1,8,17,4,7,10
Cops7b,1,0,1,1,1,4
Nppc,0,0,0,2,0,0
Dis3l2,4,1,6,4,4,2
Ecel1,1,0,0,0,0,0
Eif4e2,10,20,26,19,14,16
Efhd1,1,0,1,4,2,0
Gigyf2,3,12,9,5,2,11
Kcnj13,0,0,2,0,1,0
Inpp5d,32,35,91,38,38,51
Atg16l1,1,8,7,3,6,5
Sag,0,0,3,2,1,0
Dgkd,8,11,22,7,12,19
Gm19582,0,0,0,1,0,0
Usp40,2,6,7,3,4,2
Ugt1a7c,0,1,4,1,0,0
Ugt1a6a,1,2,0,0,0,0
Dnajb3,0,0,0,0,1,0
Hjurp,2,3,5,6,2,2
Gm29538,0,0,1,0,0,0
Glrp1,0,0,2,0,1,0
Arl4c,14,24,108,42,23,35
Sh3bp4,0,0,1,1,0,0
Agap1,0,2,2,8,5,2
Cops8,9,6,23,8,9,16
Col6a3,0,0,0,1,0,0
Mlph,0,1,0,5,3,0
Lrrfip1,11,17,21,15,21,16
Ramp1,1,10,25,17,16,13
Ube2f,12,27,35,22,20,26
Scly,3,5,10,6,13,10
Fam132b,0,0,1,0,0,0
Ilkap,4,9,14,16,8,10
Hes6,1,1,7,5,6,5
Per2,0,4,2,1,4,1
Traf3ip1,1,0,1,1,0,0
Asb1,0,1,3,2,3,2
Twist2,0,0,1,0,0,0
Hdac4,0,2,3,4,2,3
