"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Mat2a",0.595406459959104,7.48257675448973,2.54668198387507,0.0245216092162565,0.582781954232552,-3.53610026618256
"S100a13",-0.58572466967926,7.71449310425452,-2.54662128222735,0.0245244136501223,0.582781954232552,-3.56632598136905
"Rgs3",1.24393081002801,5.51207455711228,2.5426315673297,0.0247094221645765,0.582781954232552,-3.23503029174468
"Klf6",0.548378180314237,9.52925108052248,2.53429715450392,0.025100268861076,0.582781954232552,-3.77658414429789
"Rplp1",-0.341111501890261,13.4110656909881,-2.52444618768687,0.0255699503495695,0.582781954232552,-4.21003232221475
"Mbnl2",-0.877204876609683,6.38968603049686,-2.52185073139303,0.0256951059797462,0.582781954232552,-3.41878798345715
"Prkacb",-0.752800155717373,6.60180485893437,-2.51775890500365,0.0258936215726304,0.582781954232552,-3.46374047227815
"Pttg1",-0.918112732144079,6.5651146384564,-2.51740294790545,0.0259109607916996,0.582781954232552,-3.45596957758265
"Rps27a",-0.30435436170323,12.3365616331144,-2.51701576630447,0.0259298337432775,0.582781954232552,-4.09453120226703
"Rnf19b",0.901390170440535,6.21965737849612,2.51632652132289,0.0259634634801305,0.582781954232552,-3.37822175793001
"Rpl27a",-0.294236765500787,12.8687046595639,-2.5077131670257,0.0263872971572076,0.582781954232552,-4.17490903612554
"Ctsz",0.99261584639074,6.78347554293081,2.50079512515754,0.0267325408481807,0.582781954232552,-3.49298068035863
"Rps12",-0.354623014313958,12.6380441730691,-2.4947614653671,0.0270372054418626,0.582781954232552,-4.16995065272032
"Rpl36a",-0.457441278677655,11.5647571361796,-2.49472219215524,0.0270391994411612,0.582781954232552,-4.04708105087762
"Abi3",1.440203708054,5.20476089924857,2.49376250076899,0.0270879694884424,0.582781954232552,-3.30927088547806
"Tmed2",0.478928397304502,7.99127668116709,2.49275020836555,0.0271395045945327,0.582781954232552,-3.69114569009122
"Atpif1",-0.600265699322407,6.99537191061618,-2.49168261567244,0.0271939574589746,0.582781954232552,-3.56529326413158
"Gm8186",-1.39325755742937,5.47446453458388,-2.4905548920536,0.0272515917587864,0.582781954232552,-3.29989483096467
"Rps13",-0.298602176063425,12.5873793123749,-2.48606238986694,0.0274823604828008,0.582781954232552,-4.17945445236802
"Gm26532",0.882749493997755,7.175734714974,2.48475845590483,0.0275496923819024,0.582781954232552,-3.59238503411003
"Stat4",-0.672331948490031,7.72584211899226,-2.46964769069491,0.0283416627144023,0.592964645207883,-3.6991324245739
"Rpl19",-0.276233556733978,12.6469231514869,-2.4657241149539,0.0285508603863404,0.592964645207883,-4.22282555046882
"Dynlrb1",-0.669572440590871,6.90691752498308,-2.4627865279072,0.0287084592719601,0.592964645207883,-3.60020221243228
"Rpl23",-0.340708857947691,13.0404691301083,-2.45628476359022,0.0290602555550676,0.592964645207883,-4.28766681473685
"Mrpl18",-0.876163104586699,6.01824090871322,-2.45538668394108,0.0291091734920233,0.592964645207883,-3.44851760556053
"Cmip",0.918543943155171,6.24218128695215,2.44160253546546,0.0298699966931097,0.603988903720968,-3.48169625010811
"Git2",0.627381821590097,6.80277738507006,2.43381613666235,0.0303081797862143,0.60788210668629,-3.63049481743598
"mt-Co2",-0.291529830070757,13.2206208369197,-2.425062085437,0.0308081887523275,0.60788210668629,-4.36562056542957
"Actr3",-0.443643196436086,8.61935194143651,-2.42432022928168,0.0308509236838766,0.60788210668629,-3.8790659536772
"Rplp0",-0.310946592386424,12.4566957263769,-2.40990525714776,0.0316926794435382,0.60788210668629,-4.29868171773042
"Sri",-0.497394721460272,8.08086628582382,-2.40911364153774,0.0317395376919466,0.60788210668629,-3.8498003532238
"St13",-0.702601128386958,6.89747838979622,-2.40854172996935,0.0317734322667353,0.60788210668629,-3.68961248629784
"Marc2",0.670242751037213,6.6011945147692,2.40764609264196,0.0318265822930318,0.60788210668629,-3.63338946455191
"Morc3",0.971337080617941,5.69562808835282,2.40729946058399,0.0318471754252361,0.60788210668629,-3.46762114200361
"Adss",-0.838106182395482,5.87901353397389,-2.40386398845288,0.0320519656252771,0.60788210668629,-3.49917829293902
