gene,log2FC_z,p,padj
1110032A03Rik,-0.06910970701090494,0.8610863242395823,0.9957145576505264
1110032F04Rik,0.09006395989605798,0.8161778064097491,0.9957145576505264
1110034G24Rik,0.2819470941460355,0.43192715606612464,0.9857739113502277
1110038B12Rik,-0.37101373862484854,0.31105027447247174,0.9857739113502277
1110038F14Rik,-0.17767341847921864,0.6807489013046163,0.9900843878271318
1110046J04Rik,0.3465322499701052,0.27292595779731393,0.9857739113502277
1110051M20Rik,-0.10692175154331776,0.7941617074011257,0.9957145576505264
1110059E24Rik,0.3087606606518366,0.4132776824400409,0.9857739113502277
1110059G10Rik,-0.08857580022320898,0.8203600830356157,0.9957145576505264
1110065P20Rik,-0.08269631391185853,0.8301323909672355,0.9957145576505264
1190002N15Rik,-0.16449982878956274,0.6638614067600226,0.9900675664535138
1190005I06Rik,-0.20284176982072905,0.6545966226356702,0.9899338981042789
1190007I07Rik,-0.41680499313395736,0.31250154298085653,0.9857739113502277
1300002E11Rik,-0.2074661603685081,0.5456141041493919,0.9857739113502277
1500002C15Rik,0.19774533634472158,0.6253253806118686,0.9899338981042789
1500002F19Rik,0.08647106535962923,0.837535877463835,0.9957145576505264
1500004A13Rik,0.7131847862007403,0.08898495268664873,0.9828772960271867
1500009C09Rik,-0.13233383897599463,0.7344279419320063,0.9937730030473009
1500009L16Rik,-0.2936146191520952,0.5054932376379828,0.9857739113502277
1500011B03Rik,-0.11625798603101473,0.7552287957225929,0.995002303447194
1500011K16Rik,-0.3135930953231423,0.4333527564160236,0.9857739113502277
1500015A07Rik,0.04181953038426327,0.913402735081025,0.9960695304050876
1500015L24Rik,-0.8273369392841745,0.012961371149861739,0.8068997714151371
1500015O10Rik,-0.09232252991444068,0.8328536418239091,0.9957145576505264
1500026H17Rik,-0.389983198424297,0.3486368479595922,0.9857739113502277
1600002K03Rik,0.0003871398685185712,0.9993085487813572,0.9999491646977561
1600012H06Rik,-0.43069165475459126,0.2851312891207824,0.9857739113502277
1600014C10Rik,0.28240765493652253,0.37872622447188403,0.9857739113502277
1600020E01Rik,-0.040284621147535914,0.917979321664117,0.9960695304050876
1600023N17Rik,0.08706417226928834,0.8182138733840078,0.9957145576505264
1600029O15Rik,0.05841992166307822,0.8861866555342088,0.9957145576505264
1700001G17Rik,-0.07262285750999983,0.8382695811152019,0.9957145576505264
