gene,n_datasets,meta_Z,meta_p,consistency,n_sig,mean_log2FC,GSE276942_log2FC,GSE215410_log2FC,GSE174412_log2FC,GSE276942_p,GSE215410_p,GSE174412_p,meta_padj,in_pathway,tier
Cd83,3,-2.7820754835136388,0.005401247602876822,1.0,1,-0.2802618278179591,-0.2606049243662838,-0.19532822508759295,-0.3848523340000005,0.011877054168484035,0.21170894459866751,0.5768764262221683,0.9635901286762634,B,T1_meta&全一致
Gpr37,3,-2.7303305376896447,0.006327085263319041,1.0,1,-0.22420432208583177,-0.25252082417225097,-0.05572475941857746,-0.3643673826666669,0.01225893997911368,0.8336859388059404,0.19266779888215546,0.9637477382439992,D,T1_meta&全一致
Csf1,3,-2.6951900761309253,0.007034848797869061,1.0,1,-0.2133509160625823,-0.2701366732668724,-0.1743759352542078,-0.19554013966666672,0.011096521425610878,0.4269879947987129,0.5050534197718506,0.9637477382439992,B,T1_meta&全一致
Cnp,3,-2.6794758453505474,0.007373752309565861,0.6666666666666666,1,-0.22965237207627118,-0.2920040096538159,-0.47723883390833066,0.08028572733333306,0.005386874069487261,0.32810078797649583,0.9774282419997933,0.9637477382439992,D,T2_meta&多数一致
Fos,3,2.671839176528661,0.0075436792911566285,0.6666666666666666,2,-0.26868647731089873,1.2960699447477566,-0.45955810701378574,-1.642571269666667,1.277205625581922e-06,0.4084378817341763,0.004203515770936689,0.9637477382439992,A,T2_meta&多数一致
Aif1,3,-2.5001340856298033,0.01241463085290756,0.6666666666666666,1,-0.17579138721645646,-0.6356039724979725,0.026099160181936476,0.0821306506666667,0.0017835789414492925,0.9219189366690748,0.7647707674796267,0.9999814863457843,B,T2_meta&多数一致
Runx2,3,-2.498911152441422,0.012457553938965266,1.0,1,-0.2403480762102126,-0.23820654142704178,-0.20702689087026283,-0.27581079633333316,0.21098102825070272,0.17877257796659426,0.015548563630972971,0.9999814863457843,B,T1_meta&全一致
Lpar1,3,-2.4853159353484244,0.012943650428665797,0.6666666666666666,1,-1.1852807901701425,-0.3322119210663441,0.1099779618892498,-3.3336084113333335,0.0256180917043525,0.8298374302933433,0.105867647981998,0.9999814863457843,D,T2_meta&多数一致
Egr1,3,2.4610882315934477,0.013851629701194124,0.6666666666666666,1,-1.5588356328535893,0.666957672721189,-0.6362800946152918,-4.707184476666665,0.0001861595848502728,0.16580430144811287,0.5356135937369718,0.9999814863457843,A,T2_meta&多数一致
Sox10,3,-2.4396279263811964,0.014702396068921443,1.0,1,-0.42986427251657,-0.21608875799590166,-0.35155347222047517,-0.7219505873333332,0.036369617390677726,0.17603070977064506,0.6068254767539688,0.9999814863457843,D,T1_meta&全一致
Gjc2,3,-2.3798225987138895,0.01732097447277603,1.0,1,-0.36663264980638816,-0.3625477724471686,-0.6823191343053292,-0.055031042666666655,0.043597865284084276,0.15701092189375906,0.6360861689541302,0.9999814863457843,D,T1_meta&全一致
Irf5,3,-2.3499321270776443,0.018776834611261554,0.6666666666666666,1,-0.14078989949131962,-0.19883718607858292,-0.2350021620620426,0.011469649666666693,0.03728216069141147,0.060363462965542944,0.9102243155673447,0.9999814863457843,B,T2_meta&多数一致
Kctd17,3,-2.2845919869948155,0.02233676322776351,0.6666666666666666,1,-0.1807062087591227,-0.30814692011244027,-0.397476116498261,0.16350441033333318,0.01923734770439647,0.2634922427122747,0.8494092503159274,0.9999814863457843,D,T2_meta&多数一致
Gpr34,3,-2.2752407446612577,0.022891491896358182,0.6666666666666666,1,-0.24876569559623438,-0.4346190487061339,0.2393897395840976,-0.5510677776666668,0.013679684306999548,0.4247756767665856,0.27466130275904294,0.9999814863457843,B,T2_meta&多数一致
Cx3cr1,3,-2.2531698397468287,0.024248442284270994,0.6666666666666666,1,0.08438222703703542,-0.29917983272796533,0.14800198517240482,0.4043245286666668,0.0010621143876046494,0.5029764955879769,0.45422597972688283,0.9999814863457843,A+B,T2_meta&多数一致
