gene,dataset,log2FC,p,padj,n_post,n_ctrl
2010320M18Rik,GSE276942,-0.12175721780061988,0.5084366618093317,0.9992643367945064,13,4
2010320O07Rik,GSE276942,0.008384617532656069,0.9792354143532903,0.9992643367945064,13,4
2210008F06Rik,GSE276942,-0.11671745680885959,0.7887994914108152,0.9992643367945064,13,4
2210011C24Rik,GSE276942,-1.0876229087518898,0.04122311754119919,0.9992643367945064,13,4
2210013O21Rik,GSE276942,-0.06485221632675575,0.815907402875773,0.9992643367945064,13,4
2210016F16Rik,GSE276942,-0.17004288317563265,0.15755719345579677,0.9992643367945064,13,4
2210016L21Rik,GSE276942,-0.17876748008440302,0.22834924393081873,0.9992643367945064,13,4
2210018M11Rik,GSE276942,-0.13209985969453442,0.46698494089068543,0.9992643367945064,13,4
2210404O09Rik,GSE276942,-0.3050230429542511,0.43962746529341973,0.9992643367945064,13,4
2210406O10Rik,GSE276942,-0.03998942691924956,0.8192171547117798,0.9992643367945064,13,4
2210408F21Rik,GSE276942,-0.04204794775681542,0.7003490089414425,0.9992643367945064,13,4
2210408I21Rik,GSE276942,-0.34574942198256675,0.2740960010947506,0.9992643367945064,13,4
2210412B16Rik,GSE276942,-0.01466315569426957,0.970357036245762,0.9992643367945064,13,4
2210418O10Rik,GSE276942,-0.5032008094916964,0.02250207355568321,0.9992643367945064,13,4
2300009A05Rik,GSE276942,-0.34957827478667003,0.27751303622746054,0.9992643367945064,13,4
2310001H17Rik,GSE276942,-0.5333465059091109,0.309688107931297,0.9992643367945064,13,4
2310002F09Rik,GSE276942,-0.26711915634278594,0.006570910211171424,0.6724231449432091,13,4
2310009A05Rik,GSE276942,-0.29819249249516755,0.31258328086451026,0.9992643367945064,13,4
2310009B15Rik,GSE276942,-0.10526530715611049,0.6872711152756422,0.9992643367945064,13,4
2310010G23Rik,GSE276942,-0.1276893634938001,0.7739923200003322,0.9992643367945064,13,4
2310010J17Rik,GSE276942,-0.5597905986234304,0.002206787303318435,0.47771286687861253,13,4
2310011J03Rik,GSE276942,0.022328401669488684,0.8176761034709391,0.9992643367945064,13,4
2310015A10Rik,GSE276942,-0.2242690648499961,0.295831906737233,0.9992643367945064,13,4
2310022A10Rik,GSE276942,-0.08003857865517361,0.5184727704160693,0.9992643367945064,13,4
2310022B05Rik,GSE276942,-0.2004007078118608,0.09648211351973046,0.9992643367945064,13,4
2310030G06Rik,GSE276942,-0.5168987246798942,0.3472174889724552,0.9992643367945064,13,4
2310033P09Rik,GSE276942,-0.018953871283688528,0.9024977762819014,0.9992643367945064,13,4
2310034G01Rik,GSE276942,0.5055116906415975,0.3741308870212615,0.9992643367945064,13,4
2310035C23Rik,GSE276942,-0.09828987063468553,0.6863416996732353,0.9992643367945064,13,4
2310036O22Rik,GSE276942,-0.16897145671802605,0.15822269758883087,0.9992643367945064,13,4
2310039H08Rik,GSE276942,-0.2592241691992774,0.24716952295616257,0.9992643367945064,13,4
2310040G07Rik,GSE276942,-0.21568511796883083,0.5187098838319668,0.9992643367945064,13,4
2310040G24Rik,GSE276942,-0.9234061881156426,0.0025552753030972045,0.5087318614339862,13,4
2310047D07Rik,GSE276942,-0.6192480580259461,0.0895038628371997,0.9992643367945064,13,4
2310057M21Rik,GSE276942,-0.16361590914470803,0.18581710288321285,0.9992643367945064,13,4
2310058D17Rik,GSE276942,-0.14230124005311584,0.6233218808685698,0.9992643367945064,13,4
2310061I04Rik,GSE276942,-0.22704937389143076,0.26317237771120316,0.9992643367945064,13,4
2310067B10Rik,GSE276942,-0.11971024206445868,0.46800759200435954,0.9992643367945064,13,4
2310069G16Rik,GSE276942,-0.02023575381982745,0.9373508559520661,0.9992643367945064,13,4
2310074N15Rik,GSE276942,-0.06321416128325508,0.9129598803068739,0.9992643367945064,13,4
2410002F23Rik,GSE276942,0.11143729488918552,0.6275885574633716,0.9992643367945064,13,4
2410004B18Rik,GSE276942,0.00518473767504446,0.9640696723391564,0.9992643367945064,13,4
2410004I01Rik,GSE276942,0.5678429509931266,0.548259114688976,0.9992643367945064,13,4
2410004P03Rik,GSE276942,0.01974566302603975,0.9474074746373397,0.9992643367945064,13,4
2410006H16Rik,GSE276942,-0.15835517401268184,0.10871934221604596,0.9992643367945064,13,4
2410015M20Rik,GSE276942,-0.015407947083977191,0.7880691087776815,0.9992643367945064,13,4
2410016O06Rik,GSE276942,-0.07768942271062329,0.5452879002698597,0.9992643367945064,13,4
2410018L13Rik,GSE276942,-0.2079229255254047,0.44640958174996165,0.9992643367945064,13,4
2410022M11Rik,GSE276942,-0.5407921192124094,0.02339952115426837,0.9992643367945064,13,4
2410080I02Rik,GSE276942,0.1401902745840946,0.6763326993369396,0.9992643367945064,13,4
2410089E03Rik,GSE276942,0.052192912241107337,0.8359548726974283,0.9992643367945064,13,4
2410131K14Rik,GSE276942,0.05289070661116213,0.607868042413448,0.9992643367945064,13,4
2500002B13Rik,GSE276942,-0.02243811733411416,0.9295479422047407,0.9992643367945064,13,4
2500004C02Rik,GSE276942,-0.1278600753842012,0.644075483635733,0.9992643367945064,13,4
2510002D24Rik,GSE276942,-0.07879169736054958,0.4273605885557371,0.9992643367945064,13,4
2510009E07Rik,GSE276942,-0.19847464712917962,0.27121784890517764,0.9992643367945064,13,4
2510016D11Rik,GSE276942,-0.05143857594570189,0.8821796403848307,0.9992643367945064,13,4
2510017J16Rik,GSE276942,-0.09643177321709029,0.8931933908636649,0.9992643367945064,13,4
2510039O18Rik,GSE276942,-0.022780314511537725,0.715681135451283,0.9992643367945064,13,4
