gene,timepoint,log2FC,p,padj
1500012F01Rik,24H,0.002454769450134009,0.987745927297992,1.0
1500015A07Rik,24H,0.10799136093978223,0.8149554628157318,1.0
1500015L24Rik,24H,-0.8442423646113308,0.28450622203034953,1.0
1500015O10Rik,24H,-0.3153072889560562,0.8494211113243935,1.0
1500017E21Rik,24H,-0.2953397939971323,0.5383466166976949,1.0
1500026H17Rik,24H,-0.23880988852807228,0.7520650802020471,1.0
1600002H07Rik,24H,0.03874650214663422,0.8912273120834454,1.0
1600002K03Rik,24H,0.3246470935658836,0.4834051669903541,1.0
1600012H06Rik,24H,0.03142268290472927,0.9245160605938779,1.0
1600014C10Rik,24H,0.23959933133982148,0.393504728339563,1.0
1600020E01Rik,24H,0.13203024119183393,0.740883383446093,1.0
1600023N17Rik,24H,0.4110141305882262,0.40023138371290845,1.0
1600029O15Rik,24H,0.1583545748958537,0.7291718040213121,1.0
1700001C02Rik,24H,-0.24136713386600128,0.5531974302309551,1.0
1700001G17Rik,24H,0.2721075110572708,0.6010513471445593,1.0
1700001L05Rik,24H,0.010634293369568226,0.9799847184919753,1.0
1700001L19Rik,24H,0.15809488795983473,0.47389395300131937,1.0
1700001O22Rik,24H,-0.24357351832100438,0.24940672923744656,1.0
1700003E16Rik,24H,0.11192342435556135,0.5559682568339515,1.0
1700003M02Rik,24H,0.18716122320289852,0.8169290275229663,1.0
1700003M07Rik,24H,0.1706633588497919,0.3091404356966122,1.0
1700007E05Rik,24H,0.7486195826236481,0.33770934610585995,1.0
1700007G11Rik,24H,0.48987059205816497,0.46040610780715413,1.0
1700007K09Rik,24H,-0.25,0.7198550834081058,1.0
1700007K13Rik,24H,0.6342711967986387,0.40588058025184537,1.0
1700008J07Rik,24H,-0.2489932036621889,0.24204279919469288,1.0
1700008O03Rik,24H,-0.10322987540797435,0.8095005584445787,1.0
1700010I14Rik,24H,0.06458339586214379,0.9042888823357719,1.0
1700012B09Rik,24H,0.7496257634286225,0.37362713277168463,1.0
1700013F07Rik,24H,-0.1134460120757721,0.8472315037067787,1.0
1700014D04Rik,24H,-0.8276533142083125,0.3293301220040507,1.0
1700016A09Rik,24H,-0.5239547243328495,0.38987818719061723,1.0
1700016K19Rik,24H,-0.04890679393336672,0.840938803437427,1.0
1700016P03Rik,24H,0.9304544733866633,0.21206172485496785,1.0
