gene,source,gene_tier,set_repr,n_datasets,consistency,n_sig,meta_Z,meta_p,mean_log2FC,GSE276942_log2FC,GSE215410_log2FC,GSE174412_log2FC,GSE276942_p,GSE215410_p,GSE174412_p
Myrf,gene-level,T2_meta&多数一致,,3,0.6666666666666666,2,-2.865946576852687,0.0041576440171528,-0.2392088196005352,-0.2562271201162609,-0.5182896576853446,0.0568903189999998,0.0105848390918884,0.0274686006323944,0.9194906267467629
Nkx2-2,gene-level,T2_meta&多数一致,,3,0.6666666666666666,1,-2.8470276965526797,0.0044129522816785,-0.121401005480573,-0.3019954350151819,0.041703376906796,-0.1039109583333333,0.0013279258471231,0.9255199759781252,0.7127201078874362
Cnp,gene-level,T2_meta&多数一致,,3,0.6666666666666666,1,-2.6794758453505474,0.0073737523095658,-0.2296523720762711,-0.2920040096538159,-0.4772388339083306,0.080285727333333,0.0053868740694872,0.3281007879764958,0.9774282419997932
Fos,gene-level,T2_meta&多数一致,A,3,0.6666666666666666,2,2.671839176528661,0.0075436792911566,-0.2686864773108987,1.2960699447477566,-0.4595581070137857,-1.642571269666667,1.277205625581922e-06,0.4084378817341763,0.0042035157709366
Aif1,gene-level,T2_meta&多数一致,B,3,0.6666666666666666,1,-2.5001340856298038,0.0124146308529075,-0.1757913872164564,-0.6356039724979725,0.0260991601819364,0.0821306506666667,0.0017835789414492,0.9219189366690748,0.7647707674796267
Lpar1,gene-level,T2_meta&多数一致,,3,0.6666666666666666,1,-2.4853159353484244,0.0129436504286657,-1.1852807901701423,-0.3322119210663441,0.1099779618892498,-3.333608411333333,0.0256180917043525,0.8298374302933433,0.105867647981998
Egr1,gene-level,T2_meta&多数一致,A,3,0.6666666666666666,1,2.461088231593448,0.0138516297011941,-1.5588356328535893,0.666957672721189,-0.6362800946152918,-4.707184476666665,0.0001861595848502,0.1658043014481128,0.5356135937369718
Irf5,gene-level,T2_meta&多数一致,B,3,0.6666666666666666,1,-2.3499321270776443,0.0187768346112615,-0.1407898994913196,-0.1988371860785829,-0.2350021620620426,0.0114696496666666,0.0372821606914114,0.0603634629655429,0.9102243155673448
Kctd17,gene-level,T2_meta&多数一致,,3,0.6666666666666666,1,-2.2845919869948155,0.0223367632277635,-0.1807062087591227,-0.3081469201124402,-0.397476116498261,0.1635044103333331,0.0192373477043964,0.2634922427122747,0.8494092503159274
Gpr34,gene-level,T2_meta&多数一致,B,3,0.6666666666666666,1,-2.2752407446612577,0.0228914918963581,-0.2487656955962343,-0.4346190487061339,0.2393897395840976,-0.5510677776666668,0.0136796843069995,0.4247756767665856,0.2746613027590429
