gene,n_datasets,meta_Z,meta_p,consistency,n_sig,mean_log2FC,GSE276942_log2FC,GSE215410_log2FC,GSE174412_log2FC,GSE276942_p,GSE215410_p,GSE174412_p,meta_padj
6030458C11Rik,3,-0.6602441158825747,0.5090971860621865,0.6666666666666666,0,-0.3547682425290623,-0.13613622940162173,0.03214890214776922,-0.9603174003333343,0.4485821936489174,0.27472143344192307,0.351524512763117,0.9999814863457843
1300002E11Rik,3,-0.6601792663653363,0.5091387959728152,1.0,0,-0.1058646964179298,-0.09110204892727936,-0.024327249326510536,-0.2021647909999995,0.5380891552822661,0.9230748756105068,0.7975122526717046,0.9999814863457843
Fra10ac1,3,-0.6600893832681651,0.5091964713237909,0.6666666666666666,0,-0.47341168203992634,-0.24588658508182704,0.0069743389620446905,-1.1813227999999967,0.5209382989368442,0.9676577951581631,0.7536979555625444,0.9999814863457843
Smcr8,3,-0.6599133486536932,0.5093094374938553,1.0,0,-0.05575386833617291,-0.038717937696924665,-0.0798415923115936,-0.048702075000000455,0.7179320282070254,0.3497760489361987,0.9195031328432214,0.9999814863457843
Dubr,3,0.6598398011324208,0.5093566388132464,0.6666666666666666,0,-0.08164416110955641,0.21558554120502293,0.33162076713297406,-0.7921387916666662,0.19968245563625953,0.401361727853139,0.08210989291802087,0.9999814863457843
Caap1,3,-0.6597851658579762,0.509391704116029,0.6666666666666666,2,-0.46564890405760967,-0.08873484812557564,0.5183569646194135,-1.8265688286666668,0.7044271043994939,0.041580592254840454,0.012766247976469854,0.9999814863457843
Zbtb49,3,-0.6597435761075688,0.509418397557226,0.6666666666666666,0,-0.167370685078314,-0.05796084779469979,-0.4686859457735757,0.024534738333333417,0.7730912123851602,0.16945112725120606,0.9155656320157185,0.9999814863457843
Tulp4,3,-0.6597057719920366,0.5094426619097207,0.6666666666666666,0,0.26314963465541,-0.03711038915429654,-0.17406961354614658,1.0006289066666731,0.7340675179466919,0.12622617802268582,0.7340146478272952,0.9999814863457843
Acsl4,3,-0.6596555952745176,0.5094748684797459,0.6666666666666666,0,-1.0402885620290574,-0.16366651246769237,0.16352201638052488,-3.1207211900000047,0.5094828002601325,0.41711277653534884,0.36535887583042964,0.9999814863457843
Atp5h,3,0.6596143780756533,0.509501325065256,0.6666666666666666,0,0.5817156717648597,-0.036034203361786865,0.2881144619897018,1.4930667566666642,0.8544973134850131,0.23083020839321622,0.3081477344437965,0.9999814863457843
Plcl2,3,-0.6594973756418325,0.5095764307616104,0.6666666666666666,0,0.6680917499103755,-0.09719628444138806,-0.13320193582748274,2.234673469999997,0.5450725667873336,0.27968915636666714,0.5982236318209746,0.9999814863457843
Uprt,3,-0.6593441673074324,0.5096747863562083,1.0,0,-0.17805170700607142,-0.08581374552430532,-0.35779178382724197,-0.09054959166666698,0.7508137431559834,0.400580125886979,0.7889656672804292,0.9999814863457843
Gm7008,3,0.6593333941184504,0.5096817028252094,1.0,0,0.13107291205564983,0.2687195295910447,0.11323081090923814,0.011268395666666653,0.5504584236195066,0.7285056635604092,0.9293157791360689,0.9999814863457843
Gm1976,3,-0.6592769088372956,0.5097179676080101,0.6666666666666666,0,-0.05058243705811923,-0.2183492564741787,0.14631982496648632,-0.07971787966666533,0.14772090863619045,0.07001952848624195,0.9356581095691004,0.9999814863457843
Dhodh,3,-0.6592089767786666,0.5097615832604274,1.0,0,-0.0596264980185231,-0.08250013080718155,-0.004712034248387731,-0.09166732900000002,0.6418250509058147,0.9801303701707943,0.5312451576317205,0.9999814863457843
Ube2z,3,-0.6591646266506402,0.5097900592318308,1.0,0,-0.2436160322450632,-0.054762994989594915,-0.06956966341226245,-0.6065154383333322,0.68663632050713,0.5027823294741651,0.8199000256147306,0.9999814863457843
Gm11670,2,0.6588641409366186,0.5099830145940576,1.0,0,0.10330246327684778,,0.027966548553695514,0.17863837800000004,,0.8995067229261707,0.4547744239537002,0.9999814863457843
Rhbdd1,3,-0.6588264004613044,0.5100072521477605,0.6666666666666666,0,0.017656748799410187,-0.14433257857638093,-0.13648547335872196,0.33378829833333346,0.3123480580319516,0.2639141047604446,0.1610604691937474,0.9999814863457843
Fam107b,3,-0.6587988893522021,0.5100249206140872,1.0,0,-0.0598299552609598,-0.10158974539438148,-0.026381058055164885,-0.05151906233333303,0.5062770594294996,0.9049968435151363,0.8944303286570509,0.9999814863457843
Gm28403,2,0.6583383141778089,0.5103207634720994,0.5,0,0.1074063917610577,,-0.00023410714455134735,0.21504689066666677,,0.9967997975903234,0.39355618226166894,0.9999814863457843
Icam1,3,-0.6583157733481629,0.5103352445049623,0.6666666666666666,0,-0.11899458307457585,-0.3269680872219629,-0.19834406733509802,0.16832840533333338,0.34102787230455633,0.3624397523110482,0.26566691683781857,0.9999814863457843
Umps,3,0.6583011031990657,0.5103446692473766,1.0,0,0.07739828145297907,0.11286955235948071,0.06625111933278927,0.05307417266666725,0.5598100293828319,0.760070356362131,0.8813291977094838,0.9999814863457843
Atp6ap1l,3,0.6582541014684657,0.510374865818191,0.6666666666666666,0,0.142805124979007,-0.0014025432512054792,0.1879190071882264,0.24189891100000005,0.996358958713983,0.7559850274881526,0.17126396280093978,0.9999814863457843
Tas2r108,2,0.6582345030096391,0.5103874572529086,0.5,0,0.06261619679764657,,-0.035151028404706866,0.160383422,,0.7169423013804916,0.25187933254097156,0.9999814863457843
Rfesd,3,-0.6582025586599651,0.5104079809083804,0.6666666666666666,0,0.022169586890974664,-0.27757649467429424,-0.09089177931944814,0.4349770346666664,0.33665014374545005,0.37195960385124993,0.26408399612095146,0.9999814863457843
Rab2b,3,0.658188755725176,0.510416849172912,0.6666666666666666,0,-0.09057732592730172,0.27718901297695986,-0.41637176809219856,-0.13254922266666647,0.11869499993445493,0.16402155095355314,0.6174637731410346,0.9999814863457843
Ice1,3,-0.6581400808142686,0.510448123019233,0.6666666666666666,0,0.3794802130497672,-0.08579064446970719,-0.1537056697143271,1.3779369533333359,0.7394069628457712,0.08721122537948976,0.6335145304456562,0.9999814863457843
Gm42865,2,0.6579487008847813,0.5105710951866045,0.5,0,0.07039694511668432,,-0.054657841766631354,0.195451732,,0.6986229406245646,0.24380076878885926,0.9999814863457843
Fut4,3,-0.6579310655103827,0.5105824276672537,0.6666666666666666,0,-0.06342446167789381,0.04036713077850873,-0.19788222247885684,-0.032758293333333334,0.9440046373533855,0.21828191267273825,0.45168449431471985,0.9999814863457843
Hk1,3,-0.6578978839140294,0.5106037504969367,0.6666666666666666,0,0.23915036829986094,-0.1058499661172636,-0.2915053089831581,1.1148063800000045,0.5968847957291954,0.32895566303853796,0.7744729476592043,0.9999814863457843
Trim32,3,-0.6578123467970352,0.5106587196607142,1.0,0,-0.24310589602930874,-0.036530870657752956,-0.05535920076350642,-0.6374276166666668,0.8104214442708595,0.3079269669464441,0.7798881666020663,0.9999814863457843
Zfp185,3,-0.6577125074453489,0.5107228838562332,0.6666666666666666,0,0.031683367560957264,-0.4651166405966327,0.6477581026128378,-0.08759135933333334,0.42077057070125967,0.4760665652250836,0.60514743483154,0.9999814863457843
Lmod1,3,0.6576789331652702,0.5107444621332953,0.6666666666666666,0,0.04965861727320515,-0.1862069109388802,0.23008701442516233,0.10509574833333332,0.8396643308866303,0.7151504010457155,0.08288831140547448,0.9999814863457843
Atp6v1h,3,-0.6575414193554188,0.5108328475885062,0.6666666666666666,0,-0.09414338497899226,-0.16304158534718027,0.08012636707686838,-0.19951493666666487,0.39513803856891383,0.6057177998450717,0.7933242458287032,0.9999814863457843
Eif5b,3,-0.6575038783758047,0.510856978019878,0.6666666666666666,0,0.03496584724517415,-0.2132701169212332,-0.036777464676576166,0.35494512333333184,0.5355690286533915,0.5003233212022895,0.8185555256225604,0.9999814863457843
P2rx5,3,0.6574980236494454,0.5108607413497012,1.0,0,0.09991187373948442,0.2244838528889943,0.03717822199612564,0.038073546333333326,0.6601607701153945,0.8501163588888389,0.5885412914195212,0.9999814863457843
Gpat4,3,-0.6574828853816791,0.5108704720671141,1.0,0,-0.17635539915243323,-0.03629482903463277,-0.05480352508933084,-0.43796784333333605,0.7976517723121045,0.4963044061751854,0.6021514435400764,0.9999814863457843
Irf2bpl,3,-0.6573816968162411,0.5109355174873774,0.6666666666666666,0,-0.6093986951560758,0.031115195404609608,-0.19909784587283763,-1.6602134349999993,0.7555939239513123,0.12788838100228467,0.3100521512091026,0.9999814863457843
Trim45,3,0.6573657083956477,0.5109457954628507,0.6666666666666666,0,0.07445416995799485,-0.019001901562003987,0.028736967769321886,0.21362744366666664,0.9164065197159909,0.843845430565733,0.09534078860220792,0.9999814863457843
3830406C13Rik,3,-0.6573321710707499,0.5109673549040583,0.6666666666666666,0,0.03283980235363959,-0.27869955543197733,-0.005307027507106987,0.3825259900000031,0.35027682489896383,0.9551883090075918,0.703842976165748,0.9999814863457843
Dlc1,3,-0.6573021961961565,0.5109866246293119,1.0,0,-0.23730511558542192,-0.025383805508829127,-0.08119944558076941,-0.6053320956666672,0.9131938808749166,0.4686055078158025,0.4287251799333194,0.9999814863457843
Hrh3,3,0.6571571875939283,0.5110798505944949,0.6666666666666666,0,0.06686670057820987,0.17348742210870682,-0.2828458413740771,0.3099585209999999,0.4043793052716952,0.2527676393352654,0.4192390266459823,0.9999814863457843
Gm14321,2,0.657066809618307,0.5111379590486108,1.0,0,0.048935919264986485,,0.07057825752997296,0.027293581000000004,,0.599927492707497,0.6744757814265555,0.9999814863457843
Gpr107,3,-0.6570340053194433,0.5111590514024617,0.6666666666666666,0,-0.05449506969388788,-0.0509774184924332,-0.16134913992256372,0.048841349333333284,0.727404912494287,0.17935260277330825,0.8316545995272959,0.9999814863457843
Mpzl3,3,0.6568243070432097,0.511293892955227,0.6666666666666666,0,0.13624078947133697,0.1239406755807364,0.3110176991666078,-0.02623600633333334,0.5333290539598337,0.36215162448886246,0.6658114619339223,0.9999814863457843
