gene,cluster,max_membership
Nxph1,0,1.0
Olfm4,0,0.9
Olfml2a,2,0.799
Olfr1372-ps1,3,0.635
Onecut1,0,0.932
Opalin,0,0.974
Orc5,0,1.0
Otogl,2,0.956
Oxsm,2,0.503
P2ry2,0,0.875
P4ha3,0,0.739
Pabpc5,2,0.805
Pak3,0,1.0
Papd4,0,1.0
Parp10,0,0.894
Parp16,0,0.585
Parp3,0,0.919
Parp9,0,0.642
Pawr,0,0.982
Pax5,4,0.929
Pbld2,0,0.602
Pcbd1,2,0.752
Pcdh12,2,0.298
Pcdh15,2,0.978
Pcdh9,0,0.968
Pcdha11,0,0.919
Pcdha8,1,0.796
Pcdhb1,1,0.862
Pcdhb15,0,0.988
Pcdhb18,0,0.998
Pcdhga3,0,0.993
Pde6d,0,0.982
Pdgfd,2,0.637
Pdk4,0,0.992
Pdlim2,0,0.951
Pdpn,0,1.0
Pdpr,0,1.0
Pdss2,0,0.976
Peg10,0,0.863
Pfdn6,0,1.0
Pfkfb2,0,0.992
Pfkfb4,0,1.0
Phf11c,3,0.493
Phf14,0,0.845
Phf7,0,0.952
Phtf1os,1,0.688
Phyhd1,0,0.615
Pibf1,2,0.934
Piezo2,0,0.4
Pigz,0,0.983
Pik3ip1,0,0.999
Pik3r5,0,0.99
Pik3r6,0,0.939
Pipox,2,0.387
Pirb,3,0.494
Pla2g4a,2,0.874
Pla2g4e,0,0.757
Plcd4,0,0.998
Plcxd1,0,0.933
Plekhg3,0,0.999
Pllp,0,0.985
Plp2,0,0.872
Plscr2,2,0.708
Plvap,0,0.996
Plxdc1,0,0.991
Plxnd1,0,0.988
Pm20d2,2,0.68
Pnlip,0,0.367
Pnma5,2,0.866
Pnpla8,0,0.991
Podxl,0,1.0
Polh,0,0.997
Popdc2,4,0.869
Ppap2c,0,0.99
Ppil6,2,0.688
Ppp1r2-ps6,4,0.628
Ppp1r3b,2,0.578
Ppp2r3c,0,0.993
Ppp3cb,0,0.998
Ppp3cc,0,0.994
Pqlc3,3,0.472
Prdm5,0,0.75
Prex2,0,0.981
Prickle3,2,0.586
Prim1,2,1.0
Prima1,0,0.838
Prkab2,0,1.0
Prkar2b,0,0.994
Prkcq,0,0.981
Prorsd1,2,0.786
Pros1,0,0.845
Prr32,0,0.35
Prr5l,0,0.982
Prrc1,0,1.0
Prss35,2,0.532
Prtg,0,0.984
Pskh1,0,0.979
Psma8,1,0.862
Psmb9,0,0.848
Psrc1,0,0.999
Ptbp3,0,0.987
Ptk7,0,1.0
Ptpn20,4,0.734
Ptrh1,0,0.841
Pus7l,2,0.865
